Time	50_1	50_2	50_3	100_1	100_2	100_3
00:52:30	123.754	118.101	126.333	252.481	230.829	241.966
00:53:00	124.617	119.451	125.562	252.331	231.555	239.355
00:53:30	126.315	119.559	127.792	254.182	233.871	243.489
00:54:00	124.91	120.434	126.802	252.473	233.104	241.043
00:54:30	124.091	118.689	125.884	252.198	231.765	242.161
00:55:00	125.807	118.636	127.06	251.043	231.439	242.135
00:55:30	125.972	118.334	127.191	251.429	232.728	240.509
00:56:00	124.736	118.672	127.126	249.311	233.322	240.298
00:56:30	124.912	118.967	125.904	251.743	229.894	239.658
00:57:00	125.746	119.081	126.926	252.062	232.948	240.529
00:57:30	124.166	118.966	126.363	249.714	231.964	240.079
00:58:00	124.859	119.905	126.147	252.998	232.027	241.438
00:58:30	124.466	117.758	125.036	251.253	230.666	239.973
00:59:00	123.91	116.147	125.035	250.287	230.298	240.097
00:59:30	124.824	118.436	126.115	249.694	229.618	240.489
