Condition,derivative_t0,Dataset,Mean,Std,v0_fmol,base_sample,mean_final,std_final,Cells/PA,std_PA,v0_cell,PI_status,Mean_fmol,Std_fmol,Mean_cell,Std_cell
25,17.32472194,NC_INTRAPI,17.93807473,3.085610924,43.31180485,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.007474712,PI,44.84518682,7.71402731,0.007739342,0.001331
25,21.28429772,NC_INTRAPI,17.93807473,3.085610924,53.21074431,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.009183062,PI,44.84518682,7.71402731,,
50,9.731278201,NC_INTRAPI,9.266873695,0.402681282,24.3281955,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.004198538,PI,23.16718424,1.006703206,,
50,9.014707569,NC_INTRAPI,9.266873695,0.402681282,22.53676892,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.003889375,PI,23.16718424,1.006703206,0.003998172,0.000174
50,9.054635315,NC_INTRAPI,9.266873695,0.402681282,22.63658829,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.003906602,PI,23.16718424,1.006703206,,
100,20.71442584,NC_INTRAPI,19.90364766,0.702166375,51.78606461,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.008937192,PI,49.75911915,1.755415938,,
100,19.49417579,NC_INTRAPI,19.90364766,0.702166375,48.73543948,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.008410718,PI,49.75911915,1.755415938,0.008587384,0.000303
100,19.50234134,NC_INTRAPI,19.90364766,0.702166375,48.75585335,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.008414241,PI,49.75911915,1.755415938,,
150,37.00761828,NC_INTRAPI,31.54464336,4.73853763,92.5190457,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.015966854,PI,78.8616084,11.84634408,,
150,29.07898979,NC_INTRAPI,31.54464336,4.73853763,72.69747448,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.012546065,PI,78.8616084,11.84634408,0.013609865,0.002044
150,28.54732201,NC_INTRAPI,31.54464336,4.73853763,71.36830502,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.012316678,PI,78.8616084,11.84634408,,
