Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw
SPO0164	SPO0164						
SPO0165	SPO0165						
SPO0166	SPO0166						
SPO0167	SPO0167						
SPO0168	SPO0168						
SPO0170	SPO0170						
SPO0174	SPO0174						
SPO0175	SPO0175						
SPO0177	SPO0177						
SPO0178	SPO0178						
SPO0180	SPO0180						
SPO0181	SPO0181						
SPO0182	SPO0182						
SPO0183	SPO0183						
SPO0184	SPO0184						
SPO0185	SPO0185						
SPO0186	SPO0186				3.09E+07	1.03E+07	1.11E+07
SPO0187	SPO0187						
SPO0188	SPO0188						
SPO0189	SPO0189						
SPO0190	SPO0190						
SPO0191	SPO0191						
SPO0192	SPO0192						
SPO0193	SPO0193						
SPO0194	SPO0194						
SPO0195	SPO0195					1.78E+07	1.79E+07
SPO0197	SPO0197						
SPO0198	SPO0198						
SPO0199	SPO0199						
SPO0200	SPO0200						
SPO0201	SPO0201						
SPO0202	SPO0202						
SPO0203	SPO0203						
SPO0204	SPO0204						
SPO0205	SPO0205						
SPO0206	SPO0206						
SPO0207	SPO0207						
SPO0209	SPO0209						
SPO0210	SPO0210				5.08E+07	5.57E+07	5.42E+07
SPO0211	SPO0211						
SPO0212	SPO0212						
SPO0213	SPO0213						
SPO0214	SPO0214						
SPO0215	SPO0215				1.21E+07	1.07E+07	1.09E+07
SPO0216	SPO0216				3.42E+07	4.03E+07	3.33E+07
SPO0218	SPO0218						
SPO0219	SPO0219				7.81E+06	8.34E+06	7.38E+06
SPO0220	SPO0220						
SPO0221	SPO0221						
SPO0222	SPO0222				2.54E+07	3.20E+07	2.65E+07
SPO0223	SPO0223						
SPO0224	SPO0224				8.67E+06	1.04E+07	6.63E+06
SPO0225	SPO0225						
SPO0226	SPO0226						
SPO0227	SPO0227				9.06E+09	6.90E+09	7.31E+09
SPO0229	SPO0229				4.02E+07	4.03E+07	3.67E+07
SPO0230	SPO0230				2.08E+06		
SPO0231	SPO0231				1.48E+07	1.57E+07	1.50E+07
SPO0232	SPO0232				8.71E+06	6.42E+06	7.02E+06
SPO0233	SPO0233					605156	
SPO0234	SPO0234				2.36E+07	2.68E+07	2.13E+07
SPO0235	SPO0235				1.07E+07	8.81E+06	8.25E+06
SPO0236	SPO0236						
SPO0237	SPO0237					5.88E+06	
SPO0238	SPO0238						
SPO0239	SPO0239						
SPO0240	SPO0240				1.73E+07	1.42E+07	1.80E+07
SPO0241	SPO0241						
SPO0247	SPO0247				2.49E+06	954261	3.27E+06
SPO0248	SPO0248				2.80E+06	2.83E+06	1.70E+06
SPO0249	SPO0249						
SPO0250	SPO0250				4.53E+07	1.19E+08	7.57E+06
SPO0251	SPO0251				4.66E+06	4.22E+06	3.17E+06
SPO0252	SPO0252						
SPO0253	SPO0253				1.09E+07	1.14E+07	1.31E+07
SPO0254	SPO0254				9.32E+06	9.32E+06	9.44E+06
SPO0255	SPO0255						
SPO0257	SPO0257						
SPO0258	SPO0258						
SPO0260	SPO0260						
SPO0261	SPO0261						
SPO0262	SPO0262				1.31E+07	1.13E+07	1.25E+07
SPO0264	SPO0264				1.35E+07	1.57E+07	1.50E+07
SPO0265	SPO0265						
SPO0266	SPO0266						
SPO0267	SPO0267				4.19E+06	6.52E+06	2.78E+06
SPO0268	SPO0268						
SPO0269	SPO0269						
SPO0270	SPO0270				7.25E+06	6.23E+06	5.17E+06
SPO0271	SPO0271				5.35E+06	5.60E+06	6.71E+06
SPO0272	SPO0272						
SPO0273	SPO0273						
SPO0274	SPO0274						
SPO0276	SPO0276						
SPO0277	SPO0277					580326	
SPO0278	SPO0278						
SPO0281	SPO0281						
SPO0282	SPO0282						
SPO0283	SPO0283						
SPO0284	SPO0284				3.79E+06		1.74E+06
SPO0285	SPO0285						
SPO0286	SPO0286						
SPO0287	SPO0287				3.37E+06	2.57E+06	
SPO0288	SPO0288						
SPO0289	SPO0289				2.74E+06	1.42E+06	1.56E+06
SPO0290	SPO0290						
SPO0291	SPO0291				5.31E+06	6.66E+06	6.15E+06
SPO0292	SPO0292						
SPO0293	SPO0293						
SPO0294	SPO0294						
SPO0295	SPO0295				8.79E+06	7.66E+06	6.32E+06
SPO0296	SPO0296				2.64E+06	2.66E+06	4.45E+06
SPO0297	SPO0297				2.46E+06		
SPO0298	SPO0298				3.24E+06	4.30E+06	2.53E+06
SPO0299	SPO0299				1.58E+06		1.57E+06
SPO0300	SPO0300				4.59E+06	2.68E+06	2.92E+06
SPO0301	SPO0301				6.23E+08		6.49E+08
SPO0302	SPO0302						
SPO0303	SPO0303						
SPO0304	SPO0304						
SPO0305	SPO0305						
SPO0306	SPO0306					2.52E+06	1.48E+06
SPO0307	SPO0307						
SPO0308	SPO0308					2.52E+06	
SPO0309	SPO0309						
SPO0310	SPO0310						
SPO0311	SPO0311				4.07E+06	4.45E+06	
SPO0312	SPO0312				8.08E+06	7.64E+06	9.76E+06
SPO0313	SPO0313						
SPO0314	SPO0314						
SPO0315	SPO0315				2.49E+06	3.60E+06	
SPO0316	SPO0316				3.05E+06	2.83E+06	3.43E+06
SPO0317	SPO0317				5.96E+06	5.36E+06	8.48E+06
SPO0318	SPO0318						
SPO0319	SPO0319				6.69E+06	7.03E+06	5.42E+06
SPO0320	SPO0320						
SPO0321	SPO0321						
SPO0322	SPO0322				6.92E+06	1.14E+07	9.58E+06
SPO0324	SPO0324						
SPO0325	SPO0325				6.23E+07	6.11E+07	5.76E+07
SPO0326	SPO0326				7.42E+07	5.65E+07	7.28E+07
SPO0327	SPO0327						
SPO0328	SPO0328						
SPO0329	SPO0329						
SPO0330	SPO0330						
SPO0331	SPO0331				2.85E+07	2.19E+07	2.99E+07
SPO0332	SPO0332				9.29E+06	1.16E+07	1.28E+07
SPO0334	SPO0334				2.74E+06	2.64E+06	1.66E+06
SPO0335	SPO0335						
SPO0336	SPO0336						
SPO0337	SPO0337						
SPO0338	SPO0338						
SPO0339	SPO0339						
SPO0340	SPO0340				1.90E+07	2.02E+07	1.51E+07
SPO0342	SPO0342						
SPO0343	SPO0343				7.88E+06	1.25E+07	1.17E+07
SPO0344	SPO0344				4.40E+06	4.04E+06	4.26E+06
SPO0344a	SPO0344a				7.20E+06	6.85E+06	6.65E+06
SPO0345	SPO0345						
SPO0346	SPO0346				3.62E+07	3.72E+07	3.24E+07
SPO0346a	SPO0346a						
SPO0347	SPO0347				3.46E+07	3.88E+07	3.45E+07
SPO0348	SPO0348						
SPO0349	SPO0349				1.21E+08	1.15E+08	1.16E+08
SPO0352	SPO0352						
SPO0353	SPO0353						
SPO0354	SPO0354						
SPO0355	SPO0355				1.23E+07	7.50E+06	9.20E+06
SPO0356	SPO0356						
SPO0357	SPO0357						
SPO0358	SPO0358						
SPO0359	SPO0359						
SPO0360	SPO0360				1.26E+08	1.13E+07	3.34E+06
SPO0360a	SPO0360a				4.30E+06	7.30E+06	3.91E+06
SPO0361	SPO0361						
SPO0362	SPO0362				1.30E+09	1.06E+09	1.16E+09
SPO0365	SPO0365					1.24E+06	
SPO0366	SPO0366						
SPO0367	SPO0367				1.67E+07	1.74E+07	1.92E+07
SPO0368	SPO0368					2.47E+06	
SPO0369	SPO0369						
SPO0370	SPO0370				1.18E+07	1.26E+07	1.14E+07
SPO0371	SPO0371						
SPO0372	SPO0372						
SPO0373	SPO0373				829779	908451	
SPO0374	SPO0374						
SPO0375	SPO0375						
SPO0376	SPO0376						
SPO0377	SPO0377				1.76E+06		
SPO0378	SPO0378						
SPO0379	SPO0379				9.40E+07	9.70E+07	9.46E+07
SPO0380	SPO0380						
SPO0381	SPO0381					148345	
SPO0382	SPO0382				5.00E+06	1.36E+07	5.86E+06
SPO0383	SPO0383						
SPO0384	SPO0384						
SPO0385	SPO0385						
SPO0386	SPO0386				1.34E+06	1.58E+06	
SPO0387	SPO0387						
SPO0388	SPO0388				8.75E+06	6.82E+06	6.45E+06
SPO0389	SPO0389						
SPO0390	SPO0390				4.25E+06	5.53E+06	3.84E+06
SPO0391	SPO0391						
SPO0392	SPO0392				1.66E+07	1.70E+07	2.11E+07
SPO0393	SPO0393						
SPO0395	SPO0395					3.85E+06	
SPO0396	SPO0396						
SPO0397	SPO0397				2.25E+06	2.05E+06	
SPO0398	SPO0398				9.32E+06	8.76E+06	6.53E+06
SPO0399	SPO0399						
SPO0400	SPO0400						
SPO0401	SPO0401				7.43E+06		1.93E+06
SPO0402	SPO0402						
SPO0403	SPO0403				1.50E+07	5.88E+06	6.12E+06
SPO0404	SPO0404						
SPO0405	SPO0405						
SPO0406	SPO0406					3.43E+06	
SPO0407	SPO0407						
SPO0408	SPO0408				1.12E+06		
SPO0409	SPO0409				1.73E+07	1.84E+07	6.09E+06
SPO0410	SPO0410						
SPO0411	SPO0411						
SPO0412	SPO0412						
SPO0413	SPO0413						
