Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw
SPO0755	SPO0755				1.30E+07	1.52E+07	1.34E+07
SPO0756	SPO0756				2.43E+07	3.73E+07	2.02E+07
SPO0757	SPO0757				1.13E+07	1.05E+07	1.26E+07
SPO0758	SPO0758				2.71E+07	2.76E+07	2.44E+07
SPO0759	SPO0759						
SPO0760	SPO0760						
SPO0761	SPO0761				2.81E+06		
SPO0762	SPO0762						
SPO0763	SPO0763						
SPO0764	SPO0764						
SPO0765	SPO0765						
SPO0766	SPO0766						
SPO0767	SPO0767				8.63E+06	8.13E+06	7.78E+06
SPO0768	SPO0768						
SPO0769	SPO0769				4.59E+07	4.67E+07	5.23E+07
SPO0770	SPO0770						
SPO0771	SPO0771						
SPO0772	SPO0772				5.54E+06	5.01E+06	5.89E+06
SPO0773	SPO0773				1.53E+07	1.20E+07	1.44E+07
SPO0774	SPO0774					4.26E+06	
SPO0775	SPO0775						
SPO0776	SPO0776						
SPO0777	SPO0777						
SPO0778	SPO0778						
SPO0779	SPO0779				1.74E+06	2.73E+06	4.87E+06
SPO0781	SPO0781						
SPO0785	SPO0785						
SPO0786	SPO0786					4.40E+06	3.45E+06
SPO0787	SPO0787						
SPO0788	SPO0788						
SPO0789	SPO0789						
SPO0790	SPO0790						
SPO0791	SPO0791				4.84E+06	8.20E+06	3.59E+06
SPO0792	SPO0792				1.15E+07	1.26E+07	1.11E+07
SPO0793	SPO0793						
SPO0794	SPO0794				1.74E+07	2.19E+07	1.30E+07
SPO0795	SPO0795						
SPO0796	SPO0796						
SPO0798	SPO0798						
SPO0799	SPO0799						
SPO0800	SPO0800						
SPO0801	SPO0801						
SPO0802	SPO0802				5.28E+07	5.86E+07	5.96E+07
SPO0803	SPO0803						
SPO0804	SPO0804				1.34E+06	1.99E+06	2.63E+06
SPO0805	SPO0805						
SPO0806	SPO0806						
SPO0808	SPO0808				6.77E+06	8.36E+06	9.12E+06
SPO0809	SPO0809						
SPO0810	SPO0810						
SPO0811	SPO0811					4.11E+06	2.65E+06
SPO0812	SPO0812				2.74E+07	3.72E+07	3.78E+07
SPO0813	SPO0813				2.47E+06	2.25E+06	1.83E+06
SPO0814	SPO0814					2.15E+06	1.67E+06
SPO0815	SPO0815				9.11E+06	1.02E+07	1.16E+07
SPO0816	SPO0816						
SPO0817	SPO0817				7.69E+06	8.51E+06	8.21E+06
SPO0818	SPO0818						
SPO0819	SPO0819						
SPO0820	SPO0820					2.38E+06	5.46E+06
SPO0821	SPO0821						5.19E+06
SPO0822	SPO0822						
SPO0823	SPO0823						
SPO0824	SPO0824				7.27E+07	8.69E+07	6.75E+07
SPO0825	SPO0825				1.80E+07	1.69E+07	1.34E+07
SPO0826	SPO0826						
SPO0827	SPO0827						
SPO0828	SPO0828						
SPO0829	SPO0829						
SPO0830	SPO0830						
SPO0831	SPO0831						
SPO0832	SPO0832						
SPO0833	SPO0833				4.02E+08		
SPO0834	SPO0834						1.52E+08
SPO0835	SPO0835						
SPO0836	SPO0836						
SPO0837	SPO0837						
SPO0838	SPO0838						
SPO0839	SPO0839						
SPO0840	SPO0840						
SPO0841	SPO0841						
SPO0842	SPO0842						
SPO0843	SPO0843						
SPO0844	SPO0844						
SPO0845	SPO0845						
SPO0846	SPO0846						
SPO0847	SPO0847						
SPO0848	SPO0848						
SPO0849	SPO0849						
SPO0850	SPO0850						
SPO0851	SPO0851						
SPO0852	SPO0852						
SPO0853	SPO0853						
SPO0854	SPO0854						
SPO0855	SPO0855						
SPO0856	SPO0856						
SPO0857	SPO0857						
SPO0858	SPO0858						
SPO0859	SPO0859						
SPO0860	SPO0860						
SPO0861	SPO0861				4.86E+07		
SPO0862	SPO0862						
SPO0863	SPO0863						
SPO0864	SPO0864						
SPO0865	SPO0865						
SPO0866	SPO0866				1.84E+06	1.43E+06	1.74E+06
SPO0867	SPO0867						
SPO0868	SPO0868						
SPO0869	SPO0869						
SPO0870	SPO0870						
SPO0871	SPO0871						
SPO0872	SPO0872						
SPO0873	SPO0873						
SPO0874	SPO0874						
SPO0875	SPO0875						
SPO0876	SPO0876				7.93E+08		
SPO0876a	SPO0876a				4.08E+07	4.16E+07	4.40E+07
SPO0877	SPO0877						
SPO0878	SPO0878						
SPO0879	SPO0879				1.03E+08	1.05E+08	1.01E+08
SPO0880	SPO0880					339140	1.33E+06
SPO0881	SPO0881						
SPO0882	SPO0882						
SPO0883	SPO0883				2.99E+06	4.63E+06	4.72E+06
SPO0884	SPO0884						
SPO0885	SPO0885						
SPO0886	SPO0886				1.63E+08	1.67E+08	1.73E+08
SPO0887	SPO0887				1.43E+08	1.50E+08	1.39E+08
SPO0888	SPO0888					1.90E+06	
SPO0889	SPO0889						
SPO0890	SPO0890						
SPO0891	SPO0891						
SPO0892	SPO0892				5.99E+06	4.36E+06	6.05E+06
SPO0893	SPO0893				1.06E+07	6.24E+06	6.98E+06
SPO0894	SPO0894						
SPO0895	SPO0895						
SPO0896	SPO0896						
SPO0897	SPO0897				2.75E+06	2.93E+06	3.43E+06
SPO0898	SPO0898				1.02E+06		
SPO0899	SPO0899				4.13E+06	2.71E+06	4.03E+06
SPO0900	SPO0900				1.77E+07	1.96E+07	1.57E+07
SPO0901	SPO0901						
SPO0902	SPO0902					2.92E+06	
SPO0903	SPO0903				9.08E+06	1.24E+07	1.13E+07
SPO0904	SPO0904					3.13E+06	4.13E+06
SPO0905	SPO0905						
SPO0906	SPO0906						
SPO0907	SPO0907						
SPO0908	SPO0908						
SPO0909	SPO0909					1.85E+06	
SPO0910	SPO0910						
SPO0911	SPO0911				4.00E+06	5.52E+06	5.85E+06
SPO0912	SPO0912						
SPO0913	SPO0913				4.88E+06	5.98E+06	5.67E+06
SPO0914	SPO0914						
SPO0915	SPO0915				5.16E+06	9.81E+06	4.82E+06
SPO0916	SPO0916						
SPO0917	SPO0917						
SPO0918	SPO0918				3.28E+06	3.01E+06	1.73E+06
SPO0919	SPO0919						
SPO0920	SPO0920						
SPO0921	SPO0921						
SPO0922	SPO0922						
SPO0923	SPO0923				2.34E+07	2.24E+07	2.22E+07
SPO0924	SPO0924						2.70E+06
SPO0925	SPO0925						
SPO0926	SPO0926				2.04E+07	1.86E+07	1.94E+07
SPO0928	SPO0928						
SPO0929	SPO0929						
SPO0931	SPO0931						
SPO0932	SPO0932				1.20E+07	7.81E+06	1.03E+07
SPO0933	SPO0933						
SPO0934	SPO0934						
SPO0935	SPO0935				3.33E+06	1.17E+07	7.60E+06
SPO0936	SPO0936						
SPO0937	SPO0937						
SPO0938	SPO0938						
SPO0939	SPO0939				2.92E+06	2.90E+06	
SPO0940	SPO0940						
SPO0941	SPO0941						
SPO0942	SPO0942						
SPO0943	SPO0943				5.58E+06	3.85E+06	2.74E+07
SPO0944	SPO0944						
SPO0945	SPO0945					1.15E+06	
SPO0946	SPO0946				6.28E+06	6.66E+06	6.50E+06
SPO0947	SPO0947				1.27E+07	1.34E+07	1.18E+07
SPO0948	SPO0948						
SPO0949	SPO0949						
SPO0950	SPO0950						
SPO0951	SPO0951						
SPO0953	SPO0953				1.45E+07	1.20E+07	1.39E+07
SPO0954	SPO0954				2.26E+07	1.65E+07	2.29E+07
SPO0955	SPO0955						
SPO0956	SPO0956				7.96E+06	7.84E+06	8.72E+06
SPO0957	SPO0957						
SPO0958	SPO0958						
SPO0961	SPO0961				2.22E+06	1.00E+06	995384
SPO0962	SPO0962				4.25E+06	2.87E+06	4.21E+06
SPO0963	SPO0963				3.78E+06	5.94E+06	3.50E+06
SPO0964	SPO0964						
SPO0965	SPO0965						
SPO0966	SPO0966						
SPO0967	SPO0967						
SPO0968	SPO0968						
SPO0971	SPO0971						
SPO0972	SPO0972					2.50E+07	
SPO0973	SPO0973						
SPO0974	SPO0974				9.27E+06	1.46E+07	9.34E+06
SPO0975	SPO0975						
SPO0976	SPO0976				2.04E+08	1.39E+08	1.56E+08
SPO0977	SPO0977						
SPO0978	SPO0978						
SPO0979	SPO0979				3.02E+07		
SPO0980	SPO0980						
SPO0981	SPO0981						
SPO0982	SPO0982						
SPO0983	SPO0983				6.69E+06	5.50E+06	6.80E+06
SPO0985	SPO0985						
SPO0986	SPO0986				1.81E+07	1.19E+07	
SPO0987	SPO0987						
SPO0989	SPO0989					5.50E+06	
SPO0990	SPO0990						
SPO0992	SPO0992						
SPO0993	SPO0993						
SPO0994	SPO0994				1.75E+07	1.33E+07	1.33E+07
SPO0995	SPO0995				1.21E+07	1.21E+07	1.62E+07
SPO0996	SPO0996						
SPO0997	SPO0997						
SPO0998	SPO0998						
SPO0999	SPO0999						
SPO1001	SPO1001						1.12E+06
SPO1002	SPO1002						7.87E+06
SPO1003	SPO1003				4.82E+07	4.52E+07	4.36E+07
SPO1004	SPO1004				1.48E+07	1.45E+07	1.43E+07
SPO1005	SPO1005					2.52E+06	4.14E+06
SPO1006	SPO1006						
SPO1007	SPO1007						
SPO1008	SPO1008					1.08E+06	1.85E+06
SPO1009	SPO1009						
SPO1010	SPO1010				1.08E+07	9.40E+06	8.04E+06
SPO1011	SPO1011				1.27E+07	1.61E+07	1.60E+07
SPO1012	SPO1012						
SPO1013	SPO1013						
SPO1014	SPO1014						
SPO1015	SPO1015						
SPO1016	SPO1016						
SPO1017	SPO1017						
SPO1018	SPO1018						
SPO1019	SPO1019						
SPO1020	SPO1020						
SPO1021	SPO1021				2.48E+08	2.37E+08	
SPO1022	SPO1022						1.30E+06
SPO1023	SPO1023						
SPO1024	SPO1024						
SPO1025	SPO1025						
SPO1026	SPO1026						
SPO1027	SPO1027						
SPO1028	SPO1028						
SPO1029	SPO1029						
SPO1030	SPO1030						
SPO1031	SPO1031						
SPO1032	SPO1032						
SPO1033	SPO1033				6.76E+06	8.71E+06	5.75E+06
SPO1034	SPO1034					1.21E+07	
SPO1036	SPO1036						
SPO1037	SPO1037						
SPO1041	SPO1041						
SPO1044	SPO1044						
SPO1044a	SPO1044a						
SPO1045	SPO1045						
SPO1046	SPO1046					876946	
SPO1047	SPO1047						
SPO1048	SPO1048						
SPO1049	SPO1049						
SPO1051	SPO1051						
SPO1053	SPO1053						
SPO1054	SPO1054					1.57E+07	2.38E+07
SPO1055	SPO1055						
SPO1056	SPO1056						
SPO1057	SPO1057						
SPO1058	SPO1058						
SPO1059	SPO1059				1.84E+06		
SPO1060	SPO1060						
SPO1061	SPO1061						
SPO1062	SPO1062				1.46E+07	1.82E+07	1.23E+07
SPO1063	SPO1063						1.76E+06
SPO1064	SPO1064						
SPO1065	SPO1065						
SPO1066	SPO1066						
SPO1067	SPO1067						
SPO1068	SPO1068						
SPO1069	SPO1069						
SPO1070	SPO1070						
SPO1071	SPO1071						
SPO1072	SPO1072				2.69E+07	1.92E+07	2.29E+07
SPO1073	SPO1073						
SPO1076	SPO1076						
SPO1077	SPO1077						
SPO1078	SPO1078						
SPO1080	SPO1080						
SPO1081	SPO1081						
SPO1082	SPO1082						
SPO1083	SPO1083						
SPO1084	SPO1084						
SPO1085	SPO1085				6.85E+06	6.56E+06	6.34E+06
SPO1086	SPO1086						
SPO1087	SPO1087						
SPO1088	SPO1088						
SPO1089	SPO1089					2.11E+06	1.53E+06
SPO1090	SPO1090						
SPO1091	SPO1091						
SPO1092	SPO1092						
SPO1093	SPO1093						
SPO1094	SPO1094				3.54E+06	3.85E+06	3.04E+06
SPO1094a	SPO1094a				1.61E+07	1.84E+07	1.49E+07
SPO1096	SPO1096						
SPO1097	SPO1097					2.60E+06	
SPO1101	SPO1101				4.60E+06	6.26E+06	7.47E+06
SPO1102	SPO1102						
SPO1103	SPO1103				8.63E+06	8.99E+06	7.30E+06
SPO1104	SPO1104						
SPO1105	SPO1105				5.16E+06	8.49E+06	6.25E+06
SPO1106	SPO1106						
SPO1107	SPO1107						
SPO1108	SPO1108						
SPO1109	SPO1109						
SPO1110	SPO1110						
SPO1111	SPO1111						
SPO1112	SPO1112				8.18E+06	7.33E+06	9.08E+06
SPO1114	SPO1114						
SPO1115	SPO1115						
SPO1116	SPO1116						
SPO1117	SPO1117				3.28E+06	1.57E+06	952553
SPO1118	SPO1118						
SPO1119	SPO1119						
SPO1120	SPO1120						
SPO1121	SPO1121				1.71E+07	1.67E+07	1.88E+07
SPO1122	SPO1122						
SPO1123	SPO1123						
SPO1124	SPO1124						
SPO1125	SPO1125						
SPO1126	SPO1126						
SPO1127	SPO1127						
SPO1128	SPO1128						
SPO1129	SPO1129						2.42E+06
SPO1130	SPO1130						
SPO1131	SPO1131				3.98E+07	3.59E+07	4.33E+07
SPO1132	SPO1132				1.07E+08	1.61E+08	1.27E+08
SPO1133	SPO1133						
SPO1134	SPO1134						
SPO1135	SPO1135				4.97E+06	4.37E+06	7.43E+06
SPO1136	SPO1136						
SPO1137	SPO1137						
SPO1138	SPO1138						
SPO1139	SPO1139						
SPO1140	SPO1140						
SPO1141	SPO1141						
SPO1142	SPO1142						
SPO1143	SPO1143						
SPO1147	SPO1147						
SPO1148	SPO1148						
SPO1150	SPO1150				3.38E+06	2.55E+06	1.49E+06
SPO1151	SPO1151						
SPO1152	SPO1152						
SPO1153	SPO1153				4.87E+06	2.10E+06	4.39E+06
SPO1154	SPO1154					9.17E+06	
SPO1155	SPO1155						
SPO1156	SPO1156				2.00E+06	7.18E+06	3.56E+06
SPO1157	SPO1157						
SPO1158	SPO1158				6.96E+06	8.56E+06	7.89E+06
SPO1159	SPO1159				4.12E+07	2.34E+07	3.53E+07
SPO1160	SPO1160						
SPO1161	SPO1161						
SPO1162	SPO1162				4.09E+06	2.16E+06	
SPO1163	SPO1163					4.09E+06	
SPO1164	SPO1164				4.67E+06	3.60E+06	7.60E+06
SPO1165	SPO1165						
SPO1166	SPO1166				1.13E+07	8.22E+06	7.32E+06
SPO1171	SPO1171				1.66E+07	1.73E+07	1.60E+07
SPO1172	SPO1172						5.23E+06
SPO1173	SPO1173						
SPO1174	SPO1174				3.59E+06	4.34E+06	2.28E+06
SPO1176	SPO1176						
SPO1177	SPO1177						
SPO1178	SPO1178					2.07E+06	2.68E+06
SPO1179	SPO1179				1.47E+06		827569
SPO1180	SPO1180						
SPO1181	SPO1181						
SPO1182	SPO1182				1.79E+06	3.07E+06	2.27E+06
SPO1183	SPO1183				3.42E+06	2.34E+06	3.51E+06
SPO1184	SPO1184						
SPO1185	SPO1185						
SPO1186	SPO1186						
SPO1187	SPO1187				1.38E+06		
SPO1188	SPO1188					2.21E+06	
SPO1190	SPO1190						
SPO1191	SPO1191						
SPO1192	SPO1192						
SPO1193	SPO1193						
SPO1194	SPO1194				1.49E+07		1.18E+07
SPO1195	SPO1195				1.56E+06	2.16E+06	3.58E+06
SPO1196	SPO1196				4.21E+06	5.60E+06	6.17E+06
SPO1197	SPO1197						
SPO1198	SPO1198						
SPO1200	SPO1200						
SPO1201	SPO1201				1.72E+07	1.31E+07	8.33E+06
SPO1202	SPO1202						
SPO1203	SPO1203						
SPO1204	SPO1204				1.03E+07	1.50E+07	1.25E+07
SPO1205	SPO1205						
SPO1206	SPO1206						
SPO1207	SPO1207					1.28E+07	3.97E+08
SPO1208	SPO1208						
SPO1209	SPO1209						1.25E+08
SPO1210	SPO1210				3.58E+06	5.19E+06	7.07E+06
SPO1211	SPO1211						
SPO1212	SPO1212						
SPO1213	SPO1213				1.34E+08		
SPO1214	SPO1214					2.46E+06	
SPO1215	SPO1215				1.87E+06		
SPO1217	SPO1217						
SPO1218	SPO1218						
SPO1219	SPO1219						
SPO1220	SPO1220						
SPO1221	SPO1221					1.45E+06	1.67E+06
SPO1226	SPO1226						
SPO1226a	SPO1226a				5.33E+06	4.64E+06	5.21E+06
SPO1228	SPO1228						
SPO1229	SPO1229						
SPO1230	SPO1230						
SPO1232	SPO1232						
SPO1233	SPO1233						
SPO1234	SPO1234						
SPO1235	SPO1235						
SPO1236	SPO1236					2.74E+06	
SPO1237	SPO1237						
SPO1239	SPO1239				1.20E+07	1.11E+07	9.35E+06
SPO1240	SPO1240				2.07E+07	1.83E+07	1.52E+07
SPO1241	SPO1241						
SPO1242	SPO1242						
SPO1243	SPO1243				1.91E+06	2.40E+06	
SPO1244	SPO1244				3.82E+07	5.38E+07	3.73E+07
SPO1245	SPO1245						
SPO1246	SPO1246						
SPO1247	SPO1247						
SPO1249	SPO1249					3.24E+07	
SPO1250	SPO1250						
SPO1251	SPO1251					3.56E+07	
SPO1252	SPO1252						
SPO1252a	SPO1252a					2.02E+06	
SPO1253	SPO1253				5.46E+06	7.90E+06	6.13E+06
SPO1254	SPO1254				2.13E+06		
SPO1255	SPO1255				3.16E+06	5.09E+06	4.48E+06
SPO1256	SPO1256						
SPO1257	SPO1257					4.72E+06	3.97E+06
SPO1258	SPO1258						
SPO1259	SPO1259						
SPO1260	SPO1260						
SPO1261	SPO1261						
SPO1263	SPO1263				7.45E+06	7.52E+06	5.61E+06
SPO1264	SPO1264				5.06E+06	3.57E+06	4.08E+06
SPO1265	SPO1265				9.01E+06	1.03E+07	1.08E+07
SPO1266	SPO1266						
SPO1267	SPO1267						
SPO1268	SPO1268						
SPO1269	SPO1269						
SPO1270	SPO1270						
SPO1271	SPO1271						
SPO1272	SPO1272				1.18E+07	1.34E+07	1.47E+07
SPO1273	SPO1273				8.41E+06	9.30E+06	8.99E+06
SPO1274	SPO1274						
SPO1275	SPO1275				1.62E+08	1.35E+08	1.62E+08
SPO1276	SPO1276				1.63E+06		2.35E+06
SPO1278	SPO1278						
SPO1279	SPO1279						
SPO1280	SPO1280						
SPO1281	SPO1281				7.16E+07	7.73E+07	7.44E+07
SPO1282	SPO1282				9.95E+06	1.02E+07	9.90E+06
SPO1283	SPO1283						
SPO1284	SPO1284						
SPO1285	SPO1285						
SPO1286	SPO1286						
SPO1287	SPO1287						
SPO1288	SPO1288						
SPO1289	SPO1289						465087
SPO1290	SPO1290						
SPO1291	SPO1291				2.86E+06		2.44E+06
SPO1292	SPO1292						
SPO1293	SPO1293				6.18E+07	7.19E+07	6.72E+07
SPO1294	SPO1294						3.98E+06
SPO1295	SPO1295						
SPO1298	SPO1298						
SPO1299	SPO1299						
SPO1300	SPO1300				749073	5.08E+06	
SPO1301	SPO1301						
SPO1302	SPO1302						
SPO1303	SPO1303						
SPO1304	SPO1304				2.01E+06		
SPO1305	SPO1305						
SPO1306	SPO1306				5.20E+07	2.44E+07	4.14E+07
SPO1307	SPO1307						
SPO1308	SPO1308						
SPO1309	SPO1309				2.59E+06		
SPO1310	SPO1310				3.18E+06	4.01E+06	3.98E+06
SPO1310a	SPO1310a					9.10E+06	1.15E+07
SPO1311	SPO1311					1.03E+06	
SPO1312	SPO1312				1.13E+07	9.01E+06	1.36E+07
SPO1313	SPO1313						2.57E+08
SPO1314	SPO1314				1.13E+07	1.37E+07	1.17E+07
SPO1315	SPO1315				2.05E+07	2.10E+07	1.35E+07
SPO1316	SPO1316						
SPO1317	SPO1317						
SPO1318	SPO1318				1.25E+07	1.06E+07	1.09E+07
SPO1319	SPO1319						
SPO1320	SPO1320				3.11E+06	5.43E+06	2.44E+06
SPO1321	SPO1321						
SPO1322	SPO1322						
SPO1323	SPO1323						
SPO1324	SPO1324						
SPO1326	SPO1326					155619	
SPO1327	SPO1327						1.45E+06
SPO1328	SPO1328				1.21E+07	1.01E+07	1.14E+07
SPO1329	SPO1329						
SPO1330	SPO1330						4.59E+06
SPO1331	SPO1331						
SPO1333	SPO1333				6.77E+06	8.02E+06	1.01E+07
SPO1334	SPO1334					2.47E+06	
SPO1335	SPO1335						
SPO1336	SPO1336						
SPO1337	SPO1337						
SPO1337a	SPO1337a						
SPO1339	SPO1339				7.16E+06	5.58E+06	4.84E+06
SPO1340	SPO1340						
SPO1341	SPO1341						
SPO1342	SPO1342						
SPO1343	SPO1343						
SPO1344	SPO1344				1.94E+07		
SPO1345	SPO1345				2.27E+07	2.07E+07	2.12E+07
SPO1346	SPO1346						
SPO1347	SPO1347						
SPO1348	SPO1348				1.22E+07	1.73E+07	1.65E+07
SPO1349	SPO1349						
SPO1351	SPO1351				3.71E+06	1.69E+06	
SPO1352	SPO1352						
SPO1352a	SPO1352a				3.35E+07	1.04E+07	
SPO1353	SPO1353						
SPO1354	SPO1354				1.53E+07	2.12E+07	1.47E+07
SPO1355	SPO1355				6.53E+06	7.32E+06	4.00E+06
SPO1356	SPO1356						
SPO1356a	SPO1356a						
SPO1357	SPO1357						
SPO1358	SPO1358				4.63E+06	4.86E+06	4.71E+06
SPO1359	SPO1359				2.12E+06		
SPO1360	SPO1360						
SPO1361	SPO1361						
SPO1362	SPO1362						
SPO1363	SPO1363					272366	
SPO1364	SPO1364						
SPO1364a	SPO1364a				2.21E+07	1.72E+07	2.27E+07
SPO1365	SPO1365						
SPO1366	SPO1366				3.32E+07	3.32E+07	2.89E+07
SPO1367	SPO1367						
SPO1368	SPO1368						
SPO1369	SPO1369				1.94E+06	1.89E+06	3.30E+06
SPO1370	SPO1370				4.61E+06		2.38E+06
SPO1371	SPO1371						1.81E+06
SPO1372	SPO1372						
SPO1373	SPO1373						
SPO1374	SPO1374						
SPO1375	SPO1375				1.67E+06	2.38E+06	2.13E+06
SPO1376	SPO1376						
SPO1377	SPO1377				1.49E+07	1.43E+07	1.43E+07
SPO1378	SPO1378				7.81E+06	1.43E+07	6.22E+06
SPO1379	SPO1379						
SPO1380	SPO1380						
SPO1381	SPO1381						
SPO1382	SPO1382						
SPO1383	SPO1383						
SPO1384	SPO1384						386321
SPO1385	SPO1385						
SPO1386	SPO1386				9.97E+06	9.06E+06	7.87E+06
SPO1387	SPO1387						
SPO1388	SPO1388					5.74E+06	
SPO1389	SPO1389						
SPO1390	SPO1390						
SPO1392	SPO1392						
SPO1393	SPO1393						
SPO1394	SPO1394						
SPO1395	SPO1395						
SPO1396	SPO1396						
SPO1397	SPO1397						
SPO1398	SPO1398					3.27E+06	
SPO1399	SPO1399						
SPO1400	SPO1400						
SPO1401	SPO1401						
SPO1402	SPO1402						
SPO1403	SPO1403				1.13E+07	1.35E+07	1.33E+07
SPO1404	SPO1404						
SPO1405	SPO1405						
SPO1406	SPO1406						
SPO1407	SPO1407						
SPO1408	SPO1408				1.05E+07	7.76E+06	1.22E+07
SPO1409	SPO1409				8.45E+06	9.05E+06	9.67E+06
SPO1410	SPO1410						
SPO1411	SPO1411						
SPO1412a	SPO1412a				3.94E+06	4.77E+06	4.12E+06
SPO1413	SPO1413				2.06E+07	2.11E+07	2.02E+07
SPO1414	SPO1414				4.74E+06	2.52E+06	2.71E+06
SPO1415	SPO1415				1.00E+07	2.50E+07	1.47E+07
SPO1416	SPO1416						
SPO1417	SPO1417				7.56E+06	1.02E+07	8.21E+06
SPO1418	SPO1418				3.67E+06	1.72E+06	3.41E+06
SPO1419	SPO1419				3.22E+06	7.36E+06	1.09E+07
SPO1420	SPO1420				9.31E+06	1.36E+07	1.18E+07
SPO1421	SPO1421						
SPO1422	SPO1422						
SPO1423	SPO1423				1.01E+06		1.34E+06
SPO1424	SPO1424						5.11E+07
SPO1425	SPO1425						
SPO1426	SPO1426				5.15E+06	5.52E+06	5.50E+06
SPO1427	SPO1427				6.13E+06	1.80E+08	
SPO1429	SPO1429				2.04E+07	2.44E+07	1.82E+07
SPO1430	SPO1430						
SPO1431	SPO1431				1.49E+07	1.32E+07	1.23E+07
SPO1432	SPO1432				4.31E+08	3.14E+08	3.64E+08
SPO1433	SPO1433				7.10E+06		6.07E+06
SPO1434	SPO1434						
SPO1435	SPO1435					2.23E+07	
SPO1436	SPO1436						
SPO1437	SPO1437						
SPO1438	SPO1438					3.10E+06	
SPO1439	SPO1439						
SPO1442	SPO1442						
SPO1443	SPO1443				1.08E+07	1.31E+07	1.16E+07
SPO1444	SPO1444						4.44E+06
SPO1445	SPO1445						
SPO1446	SPO1446				1.49E+06		
SPO1447	SPO1447				1.67E+06	1.38E+07	
SPO1448	SPO1448						
SPO1449	SPO1449					8.02E+06	
SPO1450	SPO1450						
SPO1451	SPO1451				8.07E+06	5.09E+06	6.32E+06
SPO1452	SPO1452						
SPO1453	SPO1453						
SPO1454	SPO1454				1.01E+07	6.16E+06	8.46E+06
SPO1455	SPO1455						
SPO1456	SPO1456						
SPO1457	SPO1457						2.00E+06
SPO1458	SPO1458						
SPO1459	SPO1459						
SPO1460	SPO1460						
SPO1461	SPO1461						
SPO1462	SPO1462						
SPO1463	SPO1463						
SPO1464	SPO1464						
SPO1465	SPO1465				1.56E+07	1.10E+07	1.34E+07
SPO1466	SPO1466						
SPO1467	SPO1467						
SPO1468	SPO1468						
SPO1469	SPO1469						
SPO1470	SPO1470						
SPO1471	SPO1471						
SPO1472	SPO1472						
SPO1473	SPO1473						
SPO1474	SPO1474						
SPO1475	SPO1475						
SPO1476	SPO1476				2.06E+07	1.73E+07	
SPO1477	SPO1477						
SPO1478	SPO1478						
SPO1479	SPO1479						
SPO1480	SPO1480						
SPO1481	SPO1481						
SPO1482	SPO1482						
SPO1483	SPO1483						
SPO1484	SPO1484						
SPO1485	SPO1485						
SPO1486	SPO1486						
SPO1488	SPO1488						
SPO1489	SPO1489						
SPO1490	SPO1490						
SPO1491	SPO1491						
SPO1492	SPO1492				4.12E+07		
SPO1493	SPO1493						
SPO1494	SPO1494						
SPO1495	SPO1495						
SPO1496	SPO1496						
SPO1497	SPO1497				799053		
SPO1498	SPO1498				1.97E+07	1.79E+07	1.90E+07
SPO1499	SPO1499						
SPO1500	SPO1500						
SPO1501	SPO1501						
SPO1502	SPO1502						
SPO1503	SPO1503						
SPO1505	SPO1505						
SPO1506	SPO1506						
SPO1507	SPO1507						
SPO1508	SPO1508						
SPO1509	SPO1509						
SPO1510	SPO1510						
SPO1511	SPO1511						
SPO1512	SPO1512				2.51E+06	2.28E+06	3.36E+06
SPO1513	SPO1513						1.83E+06
SPO1514	SPO1514						
SPO1515	SPO1515					4.51E+06	3.83E+06
SPO1516	SPO1516						
SPO1517	SPO1517					1.38E+07	
SPO1518	SPO1518				2.24E+06		2.75E+06
SPO1519	SPO1519				3.18E+06		2.98E+06
SPO1520	SPO1520				4.15E+06	3.55E+06	4.76E+06
SPO1521	SPO1521						
SPO1522	SPO1522						
SPO1523	SPO1523						
SPO1524	SPO1524						
SPO1525	SPO1525						
SPO1526	SPO1526						
SPO1527	SPO1527						
SPO1528	SPO1528						
SPO1530	SPO1530						
SPO1531	SPO1531						
SPO1532	SPO1532				8.73E+06	1.00E+06	2.60E+06
SPO1533	SPO1533						
SPO1535	SPO1535						
SPO1536	SPO1536						
SPO1537	SPO1537						
SPO1538	SPO1538						
SPO1540	SPO1540						
SPO1541	SPO1541						
SPO1542	SPO1542						2.39E+06
SPO1543	SPO1543				1.20E+07	1.21E+07	1.07E+07
SPO1544	SPO1544						
SPO1545	SPO1545						
SPO1546	SPO1546						
SPO1547	SPO1547				3.21E+07	2.94E+07	3.08E+07
SPO1548	SPO1548						
SPO1549	SPO1549						
SPO1551	SPO1551				3.59E+06		
SPO1552	SPO1552						
SPO1553	SPO1553					2.29E+06	
SPO1554	SPO1554						
SPO1556	SPO1556						
SPO1557	SPO1557				7.44E+06	9.50E+06	8.32E+06
SPO1558	SPO1558						
SPO1559	SPO1559				7.34E+06	7.30E+06	5.33E+06
SPO1560	SPO1560						
SPO1562	SPO1562						
SPO1563	SPO1563						
SPO1564	SPO1564						
SPO1565	SPO1565				8.20E+07		1.02E+08
SPO1566	SPO1566						
SPO1567	SPO1567						
SPO1568	SPO1568				4.66E+07	2.23E+07	3.76E+07
SPO1569	SPO1569						
SPO1570	SPO1570						
SPO1571	SPO1571						
