Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO0094	SPO0094				74949.6	63897	94897.3
SPO0095	SPO0095				3.23E+06	3.29E+06	3.29E+06
SPO0096	SPO0096				64667.4	63426.1	65789.1
SPO0097	SPO0097				4.67E+06	4.52E+06	4.67E+06
SPO0098	SPO0098				855303	801598	786841
SPO0099	SPO0099				1.66E+06	1.49E+06	1.23E+06
SPO0100	SPO0100				729613	616610	647615
SPO0101	SPO0101				7.12E+06	6.95E+06	7.55E+06
SPO0102	SPO0102				3.42E+06	3.52E+06	3.38E+06
SPO0103	SPO0103				3.99E+06	4.22E+06	4.08E+06
SPO0104	SPO0104				9.28E+06	9.04E+06	9.55E+06
SPO0105	SPO0105				1.80E+06	1.85E+06	1.87E+06
SPO0106	SPO0106				4.73E+06	4.91E+06	4.99E+06
SPO0107	SPO0107				1.56E+06	1.34E+06	1.42E+06
SPO0109	SPO0109				1.25E+06	826408	947732
SPO0110	SPO0110				1.25E+06	1.23E+06	1.22E+06
SPO0111	SPO0111				5.75E+06	5.71E+06	5.85E+06
SPO0112	SPO0112				2.11E+06	1.98E+06	1.86E+06
SPO0113	SPO0113				1.24E+06	1.21E+06	1.17E+06
SPO0114	SPO0114				87133.3		
SPO0115	SPO0115				4.51E+06	4.32E+06	4.00E+06
SPO0116	SPO0116				1.58E+06	1.61E+06	1.58E+06
SPO0118	SPO0118				83552.9	82134.7	83187
SPO0119	SPO0119				501400	495101	465172
SPO0120	SPO0120				14155.5	8895.85	11615
SPO0122	SPO0122				1.24E+06	1.17E+06	1.11E+06
SPO0123	SPO0123				1.19E+06	1.19E+06	1.34E+06
SPO0124	SPO0124				1.14E+07	1.25E+07	1.19E+07
SPO0125	SPO0125				2.72E+06	2.66E+06	2.73E+06
SPO0126	SPO0126				1.02E+06	1.19E+06	1.22E+06
SPO0127	SPO0127				1.43E+06	1.50E+06	1.56E+06
SPO0128	SPO0128				7.34E+06	7.69E+06	7.76E+06
SPO0129	SPO0129				1.45E+06	1.57E+06	1.61E+06
SPO0130	SPO0130				2.74E+07	2.77E+07	2.78E+07
SPO0131	SPO0131				3.86E+06	3.58E+06	3.18E+06
SPO0132	SPO0132				24625.9	23151.7	15038.1
SPO0133	SPO0133				4.52E+06	4.28E+06	4.28E+06
