Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO1780	SPO1780				1.56E+06	1.13E+06	1.36E+06
SPO1781	SPO1781				3.00E+06	3.13E+06	3.23E+06
SPO1782	SPO1782				399153	442370	396489
SPO1783	SPO1783				2.85E+06	2.67E+06	2.76E+06
SPO1784	SPO1784				1.96E+06	1.91E+06	2.00E+06
SPO1785	SPO1785				1.01E+06	994658	1.04E+06
SPO1786	SPO1786				1.03E+06	873689	849678
SPO1787	SPO1787				231775	302994	287526
SPO1788	SPO1788				9.24E+06	1.14E+07	1.14E+07
SPO1789	SPO1789				129937	289627	195880
SPO1790	SPO1790				1.24E+06	1.08E+06	955350
SPO1791	SPO1791				7.75E+06	1.69E+07	1.40E+07
SPO1792	SPO1792				2.09E+06	1.79E+06	1.79E+06
SPO1794	SPO1794				217287	259273	242132
SPO1795	SPO1795				674780	783414	701947
SPO1796	SPO1796				603795	655088	680920
SPO1797	SPO1797						
SPO1798	SPO1798				211695	293086	289394
SPO1799	SPO1799				205636	198837	
SPO1800	SPO1800				1.77E+06	1.74E+06	1.77E+06
SPO1801	SPO1801				519622	359405	430956
SPO1802	SPO1802				1.08E+07	1.17E+07	1.03E+07
SPO1803	SPO1803				1.81E+07	1.36E+07	1.41E+07
SPO1804	SPO1804				2.55E+06	3.27E+06	3.31E+06
SPO1805	SPO1805				1.96E+06	2.43E+06	2.49E+06
SPO1806	SPO1806				1.70E+06	1.82E+06	1.71E+06
SPO1807	SPO1807				256152	261043	297946
SPO1808	SPO1808				190235	271253	312385
SPO1809	SPO1809				768286	827545	776450
SPO1810	SPO1810				328470	483771	487812
SPO1811	SPO1811					32448.1	
SPO1812	SPO1812				1.52E+06	2.09E+06	2.19E+06
SPO1813	SPO1813				6.75E+06	6.94E+06	7.25E+06
SPO1814	SPO1814				7.74E+06	8.72E+06	8.45E+06
SPO1815	SPO1815				764504	1.02E+06	992970
SPO1816	SPO1816				199146	254776	274983
SPO1818	SPO1818				173082	227729	250432
SPO1820	SPO1820				166389	215938	233252
SPO1825	SPO1825				876951	1.06E+06	1.06E+06
SPO1826	SPO1826				493295	480581	448058
SPO1827	SPO1827				335226	307076	305212
SPO1828	SPO1828				976885	1.28E+06	1.11E+06
SPO1829	SPO1829				476867	514640	430543
SPO1830	SPO1830				1.68E+06	2.04E+06	2.02E+06
SPO1831	SPO1831				617600	580771	578119
SPO1832	SPO1832					64502.1	140532
SPO1833	SPO1833						
SPO1834	SPO1834				2.31E+06	2.88E+06	2.83E+06
SPO1835	SPO1835				2.13E+06	2.28E+06	2.27E+06
SPO1836	SPO1836				591773	508533	562315
SPO1837	SPO1837						
SPO1838	SPO1838				75853.8	96954.6	104337
SPO1839	SPO1839				2.35E+06	3.26E+06	3.26E+06
SPO1840	SPO1840				366844	286403	305090
SPO1841	SPO1841				282354	262793	279538
SPO1842	SPO1842				429372	441618	441278
SPO1843	SPO1843				478617	588208	554235
SPO1844	SPO1844				530763	493725	514788
SPO1845	SPO1845				1.49E+06	1.19E+06	1.30E+06
SPO1846	SPO1846				2.66E+06	2.61E+06	2.59E+06
SPO1847	SPO1847				672577	743701	731449
SPO1848	SPO1848				189514	239024	200950
SPO1849	SPO1849				339751	425110	423685
SPO1850	SPO1850				48804.3	47411.6	47498.3
SPO1852	SPO1852				1.85E+07	1.84E+07	1.92E+07
SPO1853	SPO1853				748644	978989	889140
SPO1854	SPO1854				544012	636339	498520
SPO1855	SPO1855				1.37E+07	1.61E+07	1.53E+07
SPO1856	SPO1856				500200	806349	730812
SPO1857	SPO1857				83431.3	60941.4	58571.9
SPO1858	SPO1858				3.01E+06	2.93E+06	3.10E+06
SPO1859	SPO1859				773273	745042	767756
SPO1860	SPO1860				9.74E+06	9.87E+06	9.55E+06
SPO1861	SPO1861				5.41E+07	4.21E+07	4.51E+07
SPO1862	SPO1862				6.78E+06	6.24E+06	6.03E+06
SPO1863	SPO1863				7.73E+07	6.87E+07	7.31E+07
SPO1865	SPO1865				3.01E+07	2.93E+07	2.75E+07
SPO1866	SPO1866				5.93E+06	8.91E+06	9.75E+06
SPO1867	SPO1867				1.56E+06	2.97E+06	3.04E+06
SPO1868	SPO1868				1.22E+07	1.51E+07	1.39E+07
SPO1869	SPO1869				7.19E+06	7.95E+06	7.67E+06
SPO1870	SPO1870				1.56E+07	2.00E+07	2.05E+07
SPO1871	SPO1871				2.58E+06	3.78E+06	3.89E+06
SPO1872	SPO1872				3.24E+06	4.12E+06	3.90E+06
SPO1873	SPO1873				2.04E+06	2.20E+06	2.23E+06
SPO1874	SPO1874				738205	844687	786872
SPO1875	SPO1875				4.87E+06	4.68E+06	4.48E+06
SPO1876	SPO1876				4.59E+06	5.01E+06	4.91E+06
SPO1877	SPO1877				6.83E+06	6.78E+06	7.05E+06
SPO1878	SPO1878				161797		184145
SPO1880	SPO1880				1.96E+06	2.30E+06	2.22E+06
SPO1881	SPO1881				1.42E+06	1.49E+06	1.41E+06
SPO1882	SPO1882				2.25E+07	1.56E+07	1.65E+07
SPO1883	SPO1883				543098	550463	575247
SPO1884	SPO1884				3.85E+07	3.07E+07	3.16E+07
SPO1886	SPO1886				2.35E+06	5.08E+06	6.08E+06
SPO1887	SPO1887				6.74E+06	7.29E+06	7.86E+06
SPO1888	SPO1888				2.57E+07	1.43E+07	1.60E+07
SPO1889	SPO1889				2.44E+06	2.22E+06	2.35E+06
SPO1890	SPO1890				7.29E+06	7.24E+06	7.21E+06
SPO1891	SPO1891				2.69E+06	2.90E+06	2.80E+06
SPO1892	SPO1892				2.98E+07	3.28E+07	3.26E+07
SPO1893	SPO1893				1.17E+07	1.16E+07	1.12E+07
SPO1895	SPO1895				2.32E+06	1.01E+06	464010
SPO1896	SPO1896				679697	1.17E+06	1.25E+06
SPO1897	SPO1897				1.98E+06	1.70E+06	1.81E+06
SPO1898	SPO1898				887042	866151	826726
SPO1899	SPO1899				1.64E+07	2.12E+07	2.04E+07
SPO1900	SPO1900				5.37E+06	5.39E+06	5.36E+06
SPO1901	SPO1901				1.20E+06	1.34E+06	1.29E+06
SPO1902	SPO1902				1.17E+06	1.66E+06	1.63E+06
SPO1903	SPO1903				334529	433712	332112
SPO1904	SPO1904						
SPO1905	SPO1905				2.99E+06	3.33E+06	3.38E+06
SPO1906	SPO1906				2.39E+06	3.78E+06	3.71E+06
SPO1907	SPO1907				1.71E+06	2.63E+06	2.50E+06
SPO1908	SPO1908				133856	177304	197167
SPO1909	SPO1909				2.08E+06	3.45E+06	3.51E+06
SPO1911	SPO1911				28528.8	32421.4	22125.8
SPO1912	SPO1912				389639	420361	400418
SPO1913	SPO1913				1.57E+06	1.79E+06	1.81E+06
SPO1914	SPO1914				5.66E+06	7.20E+06	7.25E+06
SPO1915	SPO1915				252627	283742	316817
SPO1916	SPO1916				1.41E+07	1.42E+07	1.37E+07
SPO1917	SPO1917				415038	400843	409064
SPO1918	SPO1918				1.46E+06	1.47E+06	1.47E+06
SPO1920	SPO1920				2.87E+06	3.27E+06	3.34E+06
SPO1921	SPO1921				1.65E+07	1.52E+07	1.54E+07
SPO1922	SPO1922				1.57E+06	1.83E+06	1.98E+06
SPO1923	SPO1923				3.97E+06	4.02E+06	4.27E+06
SPO1925	SPO1925				5.28E+06	5.33E+06	5.03E+06
SPO1926	SPO1926				2.35E+06	2.79E+06	2.85E+06
SPO1927	SPO1927				261614	282585	263755
SPO1928	SPO1928				459993	425889	442465
SPO1929	SPO1929				3.08E+06	2.81E+06	2.75E+06
SPO1930	SPO1930				1.23E+07	9.66E+06	9.61E+06
SPO1932	SPO1932				4.82E+06	6.34E+06	6.21E+06
SPO1933	SPO1933				3.23E+06	6.74E+06	7.43E+06
SPO1934	SPO1934				4.35E+06	4.43E+06	4.56E+06
SPO1935	SPO1935				317704	778668	766594
SPO1936	SPO1936				490954	949608	906276
SPO1937	SPO1937				2.83E+06	2.56E+06	2.62E+06
SPO1938	SPO1938				876460	1.31E+06	1.29E+06
SPO1939	SPO1939				3.54E+07	4.92E+07	5.63E+07
SPO1940	SPO1940				788559	850092	837710
SPO1941	SPO1941				4.21E+06	3.78E+06	3.77E+06
SPO1942	SPO1942				1.61E+07	1.71E+07	1.78E+07
SPO1943	SPO1943				302253	343681	345925
SPO1944	SPO1944				3.85E+06	4.45E+06	4.39E+06
SPO1945	SPO1945				6.75E+06	4.46E+06	4.58E+06
SPO1946	SPO1946				5.82E+06	6.88E+06	7.06E+06
SPO1947	SPO1947				1.85E+06	2.23E+06	2.12E+06
SPO1948	SPO1948				4.31E+06	4.98E+06	5.49E+06
SPO1949	SPO1949				2.55E+06	2.48E+06	2.45E+06
SPO1950	SPO1950				1.80E+06	1.64E+06	1.62E+06
SPO1951	SPO1951				2.81E+06	3.01E+06	3.18E+06
SPO1952	SPO1952				3.80E+06	5.37E+06	5.43E+06
SPO1953	SPO1953				2.05E+06	2.13E+06	2.10E+06
SPO1954	SPO1954				396799	334151	292169
SPO1955	SPO1955				3.58E+06	2.91E+06	2.81E+06
SPO1956	SPO1956				87233.7	101806	84118.8
SPO1957	SPO1957				5.61E+06	3.13E+06	3.42E+06
SPO1958	SPO1958				744490	657956	648520
SPO1959	SPO1959				2.06E+06	1.71E+06	1.83E+06
SPO1960	SPO1960				1.28E+06	1.49E+06	1.64E+06
SPO1961	SPO1961				399124	494291	544218
SPO1962	SPO1962				2.63E+06	2.58E+06	2.51E+06
SPO1963	SPO1963				437698	524730	475088
SPO1964	SPO1964				1.72E+06	1.68E+06	1.42E+06
SPO1965	SPO1965				4.81E+06	5.99E+06	6.33E+06
SPO1966	SPO1966				1.99E+06	1.60E+06	1.68E+06
SPO1967	SPO1967				1.20E+06	1.10E+06	1.16E+06
SPO1968	SPO1968				600130	718913	670854
SPO1969	SPO1969				1.67E+06	1.81E+06	1.73E+06
SPO1970	SPO1970				3.25E+06	3.00E+06	3.23E+06
SPO1971	SPO1971				2.35E+06	2.20E+06	2.16E+06
SPO1972	SPO1972				2.24E+06	2.16E+06	2.06E+06
SPO1973	SPO1973				543478	572080	613681
SPO1974	SPO1974				749519	1.02E+06	1.01E+06
SPO1975	SPO1975				6.29E+07	6.52E+07	6.29E+07
SPO1976	SPO1976				1.03E+08	9.83E+07	9.93E+07
SPO1977	SPO1977				445287	602504	577736
SPO1978	SPO1978				965731	771806	786826
SPO1979	SPO1979				1.29E+06	1.21E+06	1.27E+06
SPO1980	SPO1980				2.19E+06	2.27E+06	2.22E+06
SPO1982	SPO1982					292650	285626
SPO1983	SPO1983				1.08E+07	1.06E+07	1.09E+07
SPO1984	SPO1984				6.67E+06	6.91E+06	6.53E+06
SPO1985	SPO1985				2.12E+06	2.02E+06	2.03E+06
SPO1986	SPO1986				5.14E+06	4.34E+06	4.43E+06
SPO1987	SPO1987				4.08E+06	3.82E+06	3.92E+06
SPO1988	SPO1988				188704	284900	224797
SPO1989	SPO1989				7.15E+07	4.94E+07	4.97E+07
SPO1990	SPO1990				8.68E+07	6.16E+07	6.07E+07
SPO1991	SPO1991				578523	617295	660895
SPO1992	SPO1992				570780	1.07E+06	1.06E+06
SPO1994	SPO1994				659898	840773	797029
SPO1995	SPO1995				446408	401913	420189
SPO1996	SPO1996				2.95E+06	3.55E+06	3.39E+06
SPO1997	SPO1997				627012	563826	665360
SPO1998	SPO1998				461762	395266	371761
SPO2000	SPO2000				3.32E+06	3.19E+06	3.25E+06
SPO2001	SPO2001				245482	233186	217418
SPO2002	SPO2002				359643	337229	341322
SPO2003	SPO2003				184400	144879	157961
SPO2004	SPO2004				136433	126624	136587
SPO2005	SPO2005				284245	289207	263863
SPO2006	SPO2006				154575	109473	58987.9
SPO2007	SPO2007				1.78E+06	1.56E+06	1.54E+06
SPO2009	SPO2009						
SPO2010	SPO2010				502220	462161	416671
SPO2013	SPO2013				299490	259879	267231
SPO2014	SPO2014				4.02E+06	4.25E+06	4.39E+06
SPO2015	SPO2015				1.86E+06	1.95E+06	1.64E+06
SPO2016	SPO2016				1.43E+06	1.64E+06	1.61E+06
SPO2017	SPO2017				9.38E+06	1.12E+07	1.20E+07
SPO2018	SPO2018				1.32E+07	1.34E+07	1.35E+07
SPO2019	SPO2019				1.81E+06	1.70E+06	1.83E+06
SPO2020	SPO2020				3.80E+06	3.06E+06	3.14E+06
SPO2021	SPO2021				3.85E+06	3.76E+06	3.81E+06
SPO2022	SPO2022				847800	948440	877059
SPO2023	SPO2023				6.71E+06	8.96E+06	9.29E+06
SPO2024	SPO2024				2.86E+06	2.92E+06	2.77E+06
SPO2025	SPO2025				1.59E+06	1.62E+06	1.72E+06
SPO2026	SPO2026				2.08E+07	1.35E+07	1.35E+07
SPO2027	SPO2027				657757	2.24E+06	1.92E+06
SPO2028	SPO2028				790465	666767	694064
SPO2029	SPO2029				8.04E+06	8.47E+06	8.46E+06
SPO2031	SPO2031				5.47E+06	5.87E+06	5.81E+06
SPO2032	SPO2032				1.44E+07	1.46E+07	1.47E+07
SPO2033	SPO2033				1.72E+07	1.68E+07	1.69E+07
SPO2034	SPO2034				1.13E+07	1.22E+07	1.19E+07
SPO2035	SPO2035				3.18E+06	2.90E+06	3.00E+06
SPO2036	SPO2036				1.91E+06	1.90E+06	1.91E+06
SPO2037	SPO2037				2.40E+06	2.06E+06	2.27E+06
SPO2038	SPO2038				3.62E+06	3.98E+06	3.92E+06
SPO2039	SPO2039				1.67E+07	1.52E+07	1.54E+07
SPO2040	SPO2040				1.88E+06	2.34E+06	2.25E+06
SPO2041	SPO2041				4.14E+06	4.10E+06	4.14E+06
SPO2042	SPO2042				966087	721493	922564
SPO2044	SPO2044				2.28E+06	2.43E+06	2.33E+06
SPO2045	SPO2045				6.73E+06	6.47E+06	6.69E+06
SPO2046	SPO2046				9.07E+06	8.53E+06	8.59E+06
SPO2047	SPO2047				9.73E+06	7.99E+06	8.01E+06
SPO2048	SPO2048				6.34E+06	6.54E+06	6.63E+06
SPO2049	SPO2049				201017	275785	260071
SPO2050	SPO2050					24392.9	224592
SPO2051	SPO2051				1.01E+07	9.97E+06	1.00E+07
SPO2052	SPO2052				193739	418319	491553
SPO2053	SPO2053				5.69E+06	6.14E+06	6.29E+06
SPO2054	SPO2054				5.70E+06	7.50E+06	7.05E+06
SPO2055	SPO2055				3.39E+06	3.40E+06	3.38E+06
SPO2056	SPO2056				7.52E+06	9.60E+06	9.91E+06
SPO2057	SPO2057				1.22E+06	2.67E+06	2.52E+06
SPO2058	SPO2058				1.22E+06	1.39E+06	1.37E+06
SPO2059	SPO2059				1.68E+06	1.98E+06	1.97E+06
SPO2060	SPO2060				3.69E+06	3.52E+06	3.28E+06
SPO2061	SPO2061				3.05E+06	3.64E+06	3.73E+06
SPO2062	SPO2062				1.55E+06	2.24E+06	2.17E+06
SPO2063	SPO2063				722826	807644	806353
SPO2064	SPO2064				5.15E+06	4.60E+06	4.68E+06
SPO2065	SPO2065				6.82E+07	5.03E+07	5.26E+07
SPO2066	SPO2066				1.71E+06	2.04E+06	1.94E+06
SPO2067	SPO2067					33707.5	48748.6
SPO2068	SPO2068				1.64E+06	1.31E+06	1.38E+06
SPO2069	SPO2069				2.37E+06	2.03E+06	2.19E+06
SPO2070	SPO2070				3.00E+06	4.88E+06	5.09E+06
SPO2071	SPO2071				481340	820664	657559
SPO2072	SPO2072				1.99E+06	2.49E+06	2.36E+06
SPO2073	SPO2073				1.08E+06	1.12E+06	1.26E+06
SPO2074	SPO2074				3.61E+06	3.79E+06	3.82E+06
SPO2075	SPO2075				1.42E+06	1.71E+06	1.41E+06
SPO2076	SPO2076				4.41E+06	5.11E+06	4.97E+06
SPO2077	SPO2077				4.83E+07	4.92E+07	4.47E+07
SPO2078	SPO2078				2.75E+06	3.08E+06	2.98E+06
SPO2079	SPO2079						
SPO2080	SPO2080				3.31E+06	3.35E+06	3.41E+06
SPO2081	SPO2081				1.46E+07	1.33E+07	1.27E+07
SPO2082	SPO2082				760545	887571	822755
SPO2083	SPO2083				3.63E+06	3.32E+06	3.33E+06
SPO2084	SPO2084				2.10E+06	1.32E+06	1.31E+06
SPO2085	SPO2085				5.59E+06	5.92E+06	5.56E+06
SPO2086	SPO2086				1.57E+06	1.74E+06	1.76E+06
SPO2087	SPO2087				1.76E+06	1.65E+06	1.55E+06
SPO2088	SPO2088				532902	463969	526788
SPO2089	SPO2089				477827	549424	430793
SPO2090	SPO2090				4.52E+06	4.89E+06	4.95E+06
SPO2091	SPO2091				75659	141053	127455
SPO2092	SPO2092				3.30E+06	3.50E+06	3.50E+06
SPO2093	SPO2093						
SPO2094	SPO2094				1.19E+06	1.47E+06	1.42E+06
SPO2095	SPO2095				5.48E+06	5.22E+06	5.49E+06
SPO2096	SPO2096				1.43E+06	1.53E+06	1.61E+06
SPO2097	SPO2097				3.93E+06	4.37E+06	4.40E+06
SPO2098	SPO2098				473599	399445	422140
SPO2099	SPO2099				1.47E+06	1.86E+06	2.03E+06
SPO2100	SPO2100				1.45E+06	1.29E+06	1.28E+06
SPO2101	SPO2101				5.53E+06	4.67E+06	4.65E+06
SPO2102	SPO2102				2.56E+07	2.12E+07	2.11E+07
SPO2103	SPO2103				2.81E+06	4.10E+06	3.47E+06
SPO2104	SPO2104				480037	643879	477830
SPO2105	SPO2105				711667	545475	533187
SPO2106	SPO2106				506220	414214	460874
SPO2107	SPO2107				43285.6	40714.3	57796.9
SPO2108	SPO2108				8.63E+06	7.55E+06	7.60E+06
SPO2109	SPO2109				5.57E+06	6.56E+06	6.40E+06
SPO2110	SPO2110				315100	429949	
SPO2111	SPO2111				3380.41		
SPO2113	SPO2113				2.28E+06	2.32E+06	2.33E+06
SPO2116	SPO2116				917158	1.66E+06	1.81E+06
SPO2117	SPO2117				5.34E+06	6.93E+06	7.15E+06
SPO2118	SPO2118				543471	591769	635833
SPO2119	SPO2119				1.32E+06	811698	907433
SPO2120	SPO2120				177176	162116	147885
SPO2121	SPO2121				2.01E+06	2.41E+06	2.37E+06
SPO2122	SPO2122				306789	440599	586471
SPO2123	SPO2123				415400	342824	382341
SPO2124	SPO2124				1.23E+06	1.23E+06	1.33E+06
SPO2125	SPO2125				272463	348052	397220
SPO2126	SPO2126				3.60E+06	5.40E+06	5.23E+06
SPO2127	SPO2127				521691	455515	458029
SPO2128	SPO2128				203316	298951	277089
SPO2129	SPO2129				1.24E+06	1.09E+06	995027
SPO2130	SPO2130				2.83E+06	3.30E+06	3.23E+06
SPO2131	SPO2131				4.16E+06	4.41E+06	4.47E+06
SPO2132	SPO2132				990459	965309	940053
SPO2133	SPO2133				9.97E+07	1.15E+08	1.21E+08
SPO2134	SPO2134				424748	476927	507028
SPO2135	SPO2135						
SPO2136	SPO2136				6.04E+06	7.38E+06	6.73E+06
SPO2137	SPO2137				882224	956636	844912
SPO2139	SPO2139				2.45E+06	2.35E+06	2.27E+06
SPO2140	SPO2140				6.00E+06	5.21E+06	5.82E+06
SPO2141	SPO2141				3.78E+06	3.68E+06	3.62E+06
SPO2142	SPO2142				2.76E+07	2.74E+07	2.77E+07
SPO2143	SPO2143				2.17E+07	1.77E+07	1.68E+07
SPO2144	SPO2144				5.01E+06	4.99E+06	4.98E+06
SPO2145	SPO2145				8.97E+06	1.18E+07	1.20E+07
SPO2146	SPO2146				6.95E+06	5.80E+06	5.85E+06
SPO2147	SPO2147				631898	486240	570201
SPO2148	SPO2148				1.31E+07	1.08E+07	1.06E+07
SPO2149	SPO2149				4.19E+06	5.58E+06	5.85E+06
SPO2150	SPO2150				6.93E+06	7.18E+06	7.00E+06
SPO2151	SPO2151				1.86E+07	1.90E+07	1.82E+07
SPO2152	SPO2152				6.40E+06	7.25E+06	6.98E+06
SPO2153	SPO2153				3.77E+06	3.59E+06	3.43E+06
SPO2154	SPO2154				3.42E+06	3.37E+06	3.30E+06
SPO2155	SPO2155				737619	697951	754497
SPO2156	SPO2156				7.71E+06	7.35E+06	7.49E+06
SPO2157	SPO2157				7.83E+07	7.78E+07	8.08E+07
SPO2158	SPO2158				20319.7	54241.2	53962.6
SPO2159	SPO2159				551740	211781	383315
SPO2160	SPO2160				2.30E+06	3.28E+06	3.56E+06
SPO2161	SPO2161				1.84E+06	2.41E+06	2.52E+06
SPO2162	SPO2162				1.20E+06	1.92E+06	1.85E+06
SPO2163	SPO2163				195606	105546	74680.2
SPO2164	SPO2164				124133	89964.8	107234
SPO2165	SPO2165				3.27E+06	5.07E+06	4.74E+06
SPO2166	SPO2166				6.32E+06	7.28E+06	7.22E+06
SPO2167	SPO2167				5.00E+06	5.16E+06	5.39E+06
SPO2168	SPO2168				5.24E+06	3.66E+06	3.83E+06
SPO2169	SPO2169				7.15E+06	7.09E+06	7.64E+06
SPO2170	SPO2170				303353	250081	272574
SPO2171	SPO2171				552217	587643	588437
SPO2173	SPO2173				1.58E+06	1.51E+06	1.60E+06
SPO2174	SPO2174				3.33E+06	2.50E+06	2.46E+06
SPO2176	SPO2176				275907	219862	235585
SPO2177	SPO2177				587152	453941	439482
SPO2178	SPO2178				475438	570030	593527
SPO2180	SPO2180				3.47E+06	2.39E+06	2.37E+06
SPO2181	SPO2181				595828	668500	656239
SPO2182	SPO2182				189704	141083	145617
SPO2183	SPO2183				398805	471236	509999
SPO2184	SPO2184				1.47E+06	1.36E+06	1.38E+06
SPO2185	SPO2185				1.27E+07	1.11E+07	1.04E+07
SPO2186	SPO2186				2.17E+06	2.07E+06	2.21E+06
SPO2187	SPO2187				1.48E+08	2.11E+08	2.26E+08
SPO2188	SPO2188				233727	96752.5	112153
SPO2189	SPO2189				648212	1.11E+06	1.00E+06
SPO2190	SPO2190				667378	691849	730226
SPO2191	SPO2191				446487	346655	376589
SPO2192	SPO2192				703071	647176	641636
SPO2192a	SPO2192a				433294	300319	294930
SPO2193	SPO2193				1.41E+06	1.34E+06	1.31E+06
SPO2194	SPO2194				585079	552025	575529
SPO2195	SPO2195				2.46E+06	1.93E+06	2.18E+06
SPO2196	SPO2196				8.13E+06	6.62E+06	7.25E+06
SPO2197	SPO2197				4.04E+06	4.35E+06	4.78E+06
SPO2198	SPO2198				2.38E+06	2.34E+06	2.22E+06
SPO2200	SPO2200				3.33E+06	4.44E+06	3.95E+06
SPO2201	SPO2201				1.62E+07	1.64E+07	1.71E+07
SPO2202	SPO2202				2.09E+06	1.97E+06	1.94E+06
SPO2203	SPO2203				4.79E+06	4.50E+06	4.51E+06
SPO2205	SPO2205				5.19E+06	5.40E+06	5.77E+06
SPO2206	SPO2206				331403	596921	548501
SPO2208	SPO2208				3.09E+06	2.50E+06	2.65E+06
SPO2209	SPO2209				3.73E+06	3.48E+06	3.62E+06
SPO2210	SPO2210				2.08E+07	2.52E+07	2.54E+07
SPO2211	SPO2211				763922	885107	813938
SPO2212	SPO2212				379059	435049	435454
SPO2213	SPO2213				4.05E+06	3.19E+06	3.33E+06
SPO2213a	SPO2213a				1.04E+07	1.01E+07	1.00E+07
SPO2214	SPO2214				1.15E+06	1.28E+06	1.27E+06
SPO2215	SPO2215				27479.2	91181.9	89505.5
SPO2216	SPO2216				243499	55159.5	144912
SPO2218	SPO2218				5.63E+06	5.77E+06	5.71E+06
SPO2219	SPO2219				214543	143627	172743
SPO2220	SPO2220				361369	375716	348924
SPO2221	SPO2221				2.95E+06	3.70E+06	3.74E+06
SPO2222	SPO2222				2.35E+07	2.53E+07	2.47E+07
SPO2223	SPO2223				4.71E+06	4.91E+06	5.03E+06
SPO2224	SPO2224				7.71E+06	8.79E+06	8.85E+06
SPO2226	SPO2226				1.83E+06	2.20E+06	2.02E+06
SPO2227	SPO2227				1.05E+06	990359	1.02E+06
SPO2228	SPO2228				1.15E+07	1.07E+07	1.08E+07
SPO2229	SPO2229				1.88E+06	1.87E+06	1.81E+06
SPO2230	SPO2230				4.54E+06	5.12E+06	4.65E+06
SPO2231	SPO2231				4.27E+07	4.43E+07	4.67E+07
SPO2232	SPO2232				471157	569231	465130
SPO2233	SPO2233				1.84E+07	2.25E+07	2.30E+07
SPO2234	SPO2234				4.06E+07	4.84E+07	5.02E+07
SPO2235	SPO2235				1.04E+07	1.08E+07	1.07E+07
SPO2237	SPO2237				239328	161434	187511
SPO2238	SPO2238				1.09E+06	890476	846789
SPO2239	SPO2239				210009	229751	282385
SPO2240	SPO2240				2.26E+07	2.51E+07	2.40E+07
SPO2241	SPO2241				4.17E+07	4.33E+07	4.23E+07
SPO2242	SPO2242				7.28E+07	5.41E+07	5.59E+07
SPO2243	SPO2243				864006	1.17E+06	1.20E+06
SPO2245	SPO2245				459174	499795	447553
SPO2246	SPO2246				6.81E+07	5.67E+07	5.68E+07
SPO2247	SPO2247				7.30E+06	9.47E+06	1.06E+07
SPO2248	SPO2248				119777	82348.8	70919.9
SPO2250	SPO2250				716706	673294	707103
SPO2252	SPO2252				349090	239699	235210
SPO2253	SPO2253				887878	685522	751378
SPO2257	SPO2257				1.52E+06	1.56E+06	1.64E+06
SPO2258	SPO2258				260685	194295	195370
SPO2259	SPO2259				425063	323079	277494
SPO2260	SPO2260				1.09E+06	1.08E+06	834744
SPO2261	SPO2261				3.07E+06	2.12E+06	2.25E+06
SPO2262	SPO2262				270932	306250	296244
SPO2263	SPO2263				47985.5	85040.3	63867
SPO2264	SPO2264				1.40E+06	1.12E+06	1.14E+06
SPO2266	SPO2266				173562	142278	235295
SPO2267	SPO2267				30632.6	11752.3	
SPO2268	SPO2268				501765	451521	454771
SPO2269	SPO2269						
SPO2270	SPO2270				4.15E+06	4.22E+06	4.33E+06
SPO2271	SPO2271				2.01E+07	2.19E+07	2.30E+07
SPO2272	SPO2272				2.93E+06	2.68E+06	2.80E+06
SPO2273	SPO2273				4.84E+06	3.92E+06	4.04E+06
SPO2274	SPO2274				6.57E+06	1.15E+07	7.64E+06
SPO2275	SPO2275				2.38E+07	2.82E+07	2.82E+07
SPO2276	SPO2276				1.77E+07	2.11E+07	2.12E+07
SPO2277	SPO2277				672714	936079	999822
SPO2278	SPO2278				1.02E+06	1.30E+06	1.22E+06
SPO2279	SPO2279				3.60E+06	7.41E+06	7.90E+06
SPO2280	SPO2280				695496	1.14E+06	982822
SPO2281	SPO2281				4.36E+07	3.68E+07	3.51E+07
SPO2282	SPO2282				8.68E+07	3.93E+07	4.13E+07
SPO2283	SPO2283				5.37E+07	6.14E+07	6.31E+07
SPO2284	SPO2284				7.21E+06	8.55E+06	7.89E+06
SPO2285	SPO2285				320780	257448	170476
SPO2286	SPO2286				885242	1.18E+06	1.23E+06
SPO2287	SPO2287				921353	1.09E+06	1.11E+06
SPO2288	SPO2288				2.75E+07	3.95E+07	4.18E+07
SPO2289	SPO2289				1.06E+07	1.86E+07	1.82E+07
SPO2290	SPO2290				3.73E+07	4.27E+07	4.19E+07
SPO2293	SPO2293				1.79E+06	1.63E+06	1.77E+06
SPO2294	SPO2294				1.47E+07	1.81E+07	1.79E+07
SPO2295	SPO2295				5.41E+07	5.07E+07	5.32E+07
SPO2296	SPO2296				6.12E+06	5.53E+06	5.79E+06
SPO2297	SPO2297				340315	407488	350883
SPO2298	SPO2298				1.70E+06	1.64E+06	1.70E+06
SPO2299	SPO2299				120559	119122	104706
SPO2301	SPO2301				1.89E+06	1.67E+06	1.74E+06
SPO2302	SPO2302				606807	406865	391494
SPO2303	SPO2303				478426	289222	288905
SPO2304	SPO2304				675344	1.57E+06	1.76E+06
SPO2305	SPO2305				1.34E+07	1.50E+07	1.48E+07
SPO2307	SPO2307				499899	955980	978390
SPO2308	SPO2308				187298	165097	211800
SPO2309	SPO2309						73377
SPO2310	SPO2310				3.43E+06	2.68E+06	2.59E+06
SPO2311	SPO2311				387955	339880	387319
