Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO1375	SPO1375				2.54E+06	2.50E+06	2.60E+06
SPO1376	SPO1376				120109	81727	102367
SPO1377	SPO1377				1.72E+07	1.69E+07	1.62E+07
SPO1378	SPO1378				7.24E+06	9.02E+06	9.49E+06
SPO1379	SPO1379				89675.1	80927.4	81515.6
SPO1380	SPO1380				362858	245192	238083
SPO1381	SPO1381				335566	352770	386213
SPO1382	SPO1382				211727	364316	343643
SPO1383	SPO1383				1.93E+06	2.60E+06	2.55E+06
SPO1384	SPO1384				1.36E+06	1.04E+06	1.00E+06
SPO1385	SPO1385				317225	257536	304827
SPO1386	SPO1386				1.03E+07	9.98E+06	9.82E+06
SPO1387	SPO1387				96696.4	84021.9	89609.4
SPO1388	SPO1388				655714	745592	754031
SPO1389	SPO1389				635186	547725	567032
SPO1390	SPO1390				1.11E+06	1.31E+06	1.36E+06
SPO1392	SPO1392				385657	940233	766525
SPO1393	SPO1393				430956	431161	484499
SPO1394	SPO1394						
SPO1395	SPO1395				165916	183093	141216
SPO1396	SPO1396				190854	244966	253691
SPO1397	SPO1397				2.05E+06	2.89E+06	2.91E+06
SPO1398	SPO1398				8.55E+06	1.22E+07	1.26E+07
SPO1399	SPO1399				659296	642299	684566
SPO1400	SPO1400				419485	564477	579902
SPO1401	SPO1401				2.45E+06	2.29E+06	2.35E+06
SPO1402	SPO1402				178076	206475	202981
SPO1403	SPO1403				1.12E+07	1.04E+07	1.04E+07
SPO1404	SPO1404				1.30E+06	911750	919458
SPO1405	SPO1405				2.88E+06	3.03E+06	3.49E+06
SPO1406	SPO1406				207535	174676	205665
SPO1407	SPO1407				291055	353927	306263
SPO1408	SPO1408				1.74E+06	2.22E+06	2.16E+06
SPO1409	SPO1409				1.26E+07	1.10E+07	1.14E+07
SPO1410	SPO1410				3.03E+06	3.01E+06	3.31E+06
SPO1411	SPO1411				156385	117168	152356
SPO1412a	SPO1412a				2.15E+06	2.84E+06	2.92E+06
SPO1413	SPO1413				1.71E+07	1.71E+07	1.76E+07
SPO1414	SPO1414				5.35E+06	6.14E+06	5.86E+06
SPO1415	SPO1415				3.82E+06	7.27E+06	8.61E+06
SPO1416	SPO1416				277344	474539	483734
SPO1417	SPO1417				1.49E+07	1.48E+07	1.42E+07
SPO1418	SPO1418				1.77E+06	1.37E+06	1.27E+06
SPO1419	SPO1419				6.77E+06	1.02E+07	1.15E+07
SPO1420	SPO1420				9.21E+06	1.02E+07	9.60E+06
SPO1421	SPO1421				184585	169729	216999
SPO1422	SPO1422				590145	964379	1.01E+06
SPO1423	SPO1423				4.72E+06	4.69E+06	4.68E+06
SPO1424	SPO1424				929820	1.08E+06	1.01E+06
SPO1425	SPO1425				366191	589713	575182
SPO1426	SPO1426				500105	578594	614424
SPO1427	SPO1427				6.61E+06	5.51E+06	5.53E+06
