Accession Number	Annotation	1	2	3
SPO0062	YlxR domain-containing protein	4.69E+06	4.69E+06	4.54E+06
SPO0063	Transcription termination/antitermination protein NusA	2.78E+07	2.87E+07	2.81E+07
SPO0064	Ribosome maturation factor RimP	1.71E+06	1.72E+06	1.54E+06
SPO0066	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase)	4.61E+06	4.61E+06	4.50E+06
SPO0067	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	3.33E+06	3.24E+06	3.28E+06
SPO0068	"Transcriptional regulator, putative"	3.84E+06	3.97E+06	3.88E+06
SPO0069	"Hydrolase, carbon-nitrogen family"	2.07E+06	2.02E+06	1.94E+06
SPO0070	Glutaredoxin	1.27E+06	1.13E+06	1.14E+06
SPO0071	"Competence protein F, putative"	232170	240357	254654
SPO0072	Methyltransferase type 11 domain-containing protein	989481	1.01E+06	963341
SPO0073	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	3.59E+06	3.52E+06	3.45E+06
SPO0075	ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein	1.76E+07	1.80E+07	1.81E+07
SPO0076	"Lipoprotein, putative"	1.76E+07	1.73E+07	1.83E+07
SPO0077	PTS IIA-like nitrogen-regulatory protein PtsN	6.62E+06	6.17E+06	6.30E+06
SPO0078	Ribosome hibernation promoting factor (HPF)	5.95E+07	5.44E+07	5.43E+07
SPO0079	Lipopolysaccharide export system ATP-binding protein LptB	3.29E+06	3.14E+06	3.18E+06
SPO0080	Organic solvent tolerance-like N-terminal domain-containing protein	2.43E+06	2.12E+06	2.02E+06
SPO0081	Lipopolysaccharide export system protein LptC	970357	1.00E+06	989120
SPO0082	Arabinose 5-phosphate isomerase (EC 5.3.1.13)	7.92E+06	7.66E+06	7.84E+06
SPO0083	"Exonuclease, putative"	3.83E+06	3.56E+06	3.44E+06
SPO0084	betaine-aldehyde dehydrogenase (EC 1.2.1.8)	2.37E+06	2.50E+06	2.35E+06
SPO0085	Uncharacterized protein	44644.8		191935
SPO0086	"Lipoprotein, putative"	1.08E+06	1.12E+06	1.07E+06
SPO0087	Porin domain-containing protein	1.62E+06	1.56E+06	934817
SPO0088	Cytochrome c domain-containing protein	1.47E+06	1.31E+06	1.36E+06
SPO0089	Imelysin-like domain-containing protein	165739	163881	165952
SPO0090	Twin-arginine translocation pathway signal	585435	712914	632773
SPO0091	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O)	1.28E+06	1.19E+06	1.12E+06
SPO0092	"Heat shock protein, Hsp70 family"	1.81E+06	1.93E+06	1.89E+06
SPO0093	nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase)	1.22E+06	1.33E+06	1.27E+06
SPO0094	histidine kinase (EC 2.7.13.3)	101030	103793	110619
SPO0095	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	3.69E+06	3.76E+06	3.72E+06
SPO0096	"Membrane protein, putative"	67863.8	41719.5	45423.1
SPO0097	Aldehyde dehydrogenase family protein	4.44E+06	4.32E+06	4.39E+06
SPO0098	"Peptide/opine/nickel uptake family ABC transporter, ATP-binding protein"	740122	760201	783427
