Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO0183	SPO0183				253950	213820	210182
SPO0184	SPO0184				135442	134659	125598
SPO0185	SPO0185				403788	293327	342768
SPO0186	SPO0186				2.21E+06	1.98E+06	1.99E+06
SPO0187	SPO0187				771185	749656	702805
SPO0188	SPO0188				319279	338499	328868
SPO0189	SPO0189				752827	713942	684120
SPO0190	SPO0190				1.25E+06	1.24E+06	1.17E+06
SPO0191	SPO0191				34819.1	133610	130550
SPO0192	SPO0192						
SPO0193	SPO0193				290961	198794	155144
SPO0194	SPO0194				27553.7	182941	13487.4
SPO0195	SPO0195				25301	95158	47085.7
SPO0197	SPO0197				35277.4	95511.8	609120
SPO0198	SPO0198				13793.1	6767.86	13536.3
SPO0199	SPO0199				63581.3	98433.8	103703
SPO0200	SPO0200				115366	75470.3	71064.8
SPO0201	SPO0201						17124.2
SPO0202	SPO0202					153626	
SPO0203	SPO0203				398990	228147	
SPO0204	SPO0204				50497.1	193056	
SPO0205	SPO0205				211865	29837.3	221099
SPO0206	SPO0206				1.02E+06	942360	1.04E+06
SPO0207	SPO0207				358674	381670	347768
SPO0209	SPO0209				817954	751373	825472
SPO0210	SPO0210				4.96E+07	4.96E+07	5.08E+07
SPO0211	SPO0211				218938	195642	160986
SPO0212	SPO0212				710030	712347	702582
SPO0213	SPO0213				348069	347408	304548
SPO0214	SPO0214				487463	502718	478761
SPO0215	SPO0215				1.94E+07	1.94E+07	1.90E+07
SPO0216	SPO0216				7.04E+07	6.81E+07	6.71E+07
SPO0218	SPO0218				452385	417454	457373
SPO0219	SPO0219				6.13E+06	6.29E+06	6.02E+06
SPO0220	SPO0220				2.35E+06	2.50E+06	2.28E+06
SPO0221	SPO0221				1.18E+06	1.11E+06	1.04E+06
SPO0222	SPO0222				3.84E+07	3.79E+07	3.74E+07
SPO0223	SPO0223				901597	832952	869821
SPO0224	SPO0224				5.58E+06	5.66E+06	5.39E+06
SPO0225	SPO0225				482018	510392	559999
SPO0226	SPO0226				525134	562399	548109
SPO0227	SPO0227				4.35E+06	4.74E+06	3.86E+06
SPO0229	SPO0229				4.39E+07	5.12E+07	5.14E+07
SPO0230	SPO0230				3.34E+06	3.34E+06	3.39E+06
SPO0231	SPO0231				1.60E+07	1.61E+07	1.61E+07
SPO0232	SPO0232				5.96E+06	5.72E+06	5.74E+06
SPO0233	SPO0233				946683	958623	898804
SPO0234	SPO0234				8.43E+07	8.64E+07	8.83E+07
SPO0235	SPO0235				6.00E+07	6.34E+07	6.28E+07
SPO0236	SPO0236				992925	973066	980803
SPO0237	SPO0237				1.43E+06	1.50E+06	1.28E+06
SPO0238	SPO0238				386268	285646	471071
SPO0239	SPO0239				548073	616545	650342
SPO0240	SPO0240				5.03E+06	5.14E+06	4.88E+06
SPO0241	SPO0241				727662	756843	715523
SPO0247	SPO0247				5.65E+06	5.73E+06	5.58E+06
SPO0248	SPO0248				4.29E+06	4.30E+06	4.15E+06
SPO0249	SPO0249					141572	147932
SPO0250	SPO0250				1.70E+06	1.62E+06	1.58E+06
SPO0251	SPO0251				3.73E+06	3.73E+06	3.66E+06
SPO0252	SPO0252				1.44E+06	1.50E+06	1.47E+06
SPO0253	SPO0253				1.15E+07	1.08E+07	1.10E+07
SPO0254	SPO0254				3.20E+07	3.55E+07	3.15E+07
SPO0255	SPO0255				464040	435579	420090
SPO0257	SPO0257				224027	220857	159188
SPO0258	SPO0258				2.11E+06	2.17E+06	2.09E+06
SPO0260	SPO0260				573096	587554	631193
SPO0261	SPO0261				232285	247760	252646
SPO0262	SPO0262				1.34E+07	1.33E+07	1.41E+07
SPO0264	SPO0264				1.35E+07	1.33E+07	1.35E+07
SPO0265	SPO0265				58508.4	51532.6	56109.5
SPO0266	SPO0266				953035	1.00E+06	902755
SPO0267	SPO0267				6.25E+06	6.42E+06	6.41E+06
SPO0268	SPO0268				1.08E+06	1.01E+06	996512
SPO0269	SPO0269				943927	991233	942146
SPO0270	SPO0270				7.17E+06	7.44E+06	7.01E+06
SPO0271	SPO0271				4.36E+07	4.29E+07	4.14E+07
SPO0272	SPO0272				9.61E+06	9.09E+06	1.04E+07
SPO0273	SPO0273				1.40E+07	1.52E+07	1.47E+07
SPO0274	SPO0274					29844.3	36817.3
SPO0276	SPO0276				514444	562668	555419
SPO0277	SPO0277				1.72E+06	1.80E+06	1.70E+06
SPO0278	SPO0278				2.74E+06	2.83E+06	2.79E+06
SPO0281	SPO0281				101846	76291	99234.6
SPO0282	SPO0282				579867	552253	550041
SPO0283	SPO0283				3.43E+06	3.61E+06	3.50E+06
