Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_3.raw
SPO1602	SPO1602						
SPO1603	SPO1603						
SPO1604	SPO1604						
SPO1605	SPO1605				2.59E+06	4.03E+06	2.93E+06
SPO1606	SPO1606				2.44E+07	2.01E+07	2.03E+07
SPO1607	SPO1607						
SPO1608	SPO1608						
SPO1609	SPO1609						1.26E+06
SPO1610	SPO1610						
SPO1612	SPO1612						
SPO1614	SPO1614				4.14E+06	4.48E+06	2.49E+06
SPO1615	SPO1615						
SPO1620	SPO1620					49960.5	
SPO1621	SPO1621						
SPO1622	SPO1622						
SPO1623	SPO1623						
SPO1624	SPO1624					357542	786084
SPO1625	SPO1625				7.07E+06	5.58E+06	6.60E+06
SPO1626	SPO1626				3.69E+06	7.90E+06	8.35E+06
SPO1627	SPO1627						95916.2
SPO1628	SPO1628						
SPO1629	SPO1629						
SPO1630	SPO1630						
SPO1631	SPO1631						1.19E+07
SPO1632	SPO1632						
SPO1633	SPO1633				250148	249564	262099
SPO1634	SPO1634					89037.6	
SPO1635	SPO1635				3.25E+07	36353.3	
SPO1636	SPO1636						1.04E+08
SPO1637	SPO1637				1.09E+06	824924	1.02E+06
SPO1638	SPO1638				311085	2.98E+06	320108
SPO1640	SPO1640						
SPO1641	SPO1641						
SPO1643	SPO1643				610598	807834	901371
SPO1647	SPO1647				1.37E+06	1.75E+06	1.97E+06
SPO1649	SPO1649						548931
SPO1656	SPO1656					4.18E+06	2.46E+06
SPO1657	SPO1657						
SPO1658	SPO1658						
SPO1659	SPO1659				2.45E+08	2.47E+08	2.67E+08
SPO1660	SPO1660						
SPO1661	SPO1661				2.00E+06		
SPO1662	SPO1662						
SPO1663	SPO1663						582148
SPO1664	SPO1664				4.89E+06	3.58E+06	6.61E+06
SPO1665	SPO1665						
SPO1666	SPO1666						
SPO1667	SPO1667						
SPO1668	SPO1668						94989.4
SPO1669	SPO1669						
SPO1670	SPO1670				2.57E+06	3.05E+06	3.79E+06
SPO1671	SPO1671						
SPO1672	SPO1672				1.94E+07	2.58E+07	1.59E+07
SPO1673	SPO1673				8.03E+06	1.17E+07	9.70E+06
SPO1674	SPO1674						
SPO1675	SPO1675						
SPO1676	SPO1676						
SPO1677	SPO1677						
SPO1678	SPO1678						
SPO1679	SPO1679						
SPO1680	SPO1680					4.31E+06	274662
SPO1681	SPO1681						
SPO1683	SPO1683					960386	
SPO1684	SPO1684						
SPO1685	SPO1685						
SPO1686	SPO1686				83621	117655	181291
SPO1687	SPO1687						
SPO1688	SPO1688						
SPO1689	SPO1689						
SPO1690	SPO1690				2.23E+06		
SPO1691	SPO1691				1.64E+08	1.44E+08	9.27E+07
SPO1692	SPO1692				1.78E+06	1.21E+06	1.95E+06
SPO1693	SPO1693				3.19E+06		
SPO1694	SPO1694					8.51E+06	
SPO1695	SPO1695						
SPO1696	SPO1696						
SPO1697	SPO1697						
SPO1698	SPO1698						
SPO1699	SPO1699						
SPO1700	SPO1700						
SPO1701	SPO1701				516536	633662	353825
SPO1703	SPO1703						
SPO1704	SPO1704						
SPO1707	SPO1707						
SPO1707a	SPO1707a				1.92E+07	1.32E+07	4.34E+08
SPO1708	SPO1708						
SPO1709	SPO1709						
SPO1710	SPO1710						
SPO1711	SPO1711						
SPO1712	SPO1712						
SPO1713	SPO1713						
SPO1714	SPO1714						371251
SPO1715	SPO1715						
SPO1716	SPO1716						
SPO1717	SPO1717						
SPO1719	SPO1719						
SPO1720	SPO1720						
SPO1721	SPO1721				5.29E+07	6.61E+07	5.87E+07
SPO1722	SPO1722						
SPO1723	SPO1723				1.17E+06	1.37E+06	1.11E+06
SPO1724	SPO1724						
SPO1725	SPO1725						73205.5
SPO1727	SPO1727						
SPO1728	SPO1728						218387
SPO1729	SPO1729						
SPO1732	SPO1732						
SPO1733	SPO1733				1.38E+08	7.83E+07	1.28E+08
SPO1734	SPO1734				113670	137545	218921
SPO1735	SPO1735				200873	203636	117536
SPO1736	SPO1736						
SPO1737	SPO1737						1.01E+07
SPO1738	SPO1738						
SPO1739	SPO1739				56086.2	122479	
SPO1740	SPO1740						
SPO1741	SPO1741				16897.5	51751.9	
SPO1742	SPO1742				138256		108819
SPO1743	SPO1743				1.47E+08	1.35E+08	1.56E+08
SPO1744	SPO1744						
SPO1745	SPO1745						
SPO1746	SPO1746					871319	815362
SPO1747	SPO1747						
SPO1748	SPO1748				524428	308977	952741
SPO1749	SPO1749				5.94E+06	513525	1.23E+07
SPO1750	SPO1750				616891	535001	988397
SPO1751	SPO1751				755167	733856	716769
SPO1752	SPO1752					31114.3	
SPO1753	SPO1753				56881.4	62217	
SPO1754	SPO1754						
SPO1755	SPO1755						
SPO1756	SPO1756				1.59E+07	1.70E+07	1.37E+07
SPO1757	SPO1757						
SPO1759	SPO1759				6.91E+06		
SPO1760	SPO1760						
SPO1761	SPO1761					55916.5	164402
SPO1762	SPO1762				1.42E+06	1.62E+06	1.40E+06
SPO1763	SPO1763				395730	479687	480106
SPO1764	SPO1764						
SPO1766	SPO1766						
SPO1767	SPO1767						
SPO1769	SPO1769						
SPO1770	SPO1770				1.92E+06		221533
SPO1771	SPO1771						
SPO1772	SPO1772						
SPO1773	SPO1773				9.92E+07	8.84E+07	9.44E+07
SPO1774	SPO1774						
SPO1775	SPO1775				3.29E+06	3.53E+06	3.15E+06
SPO1776	SPO1776				406175		3.52E+07
SPO1777	SPO1777						1.22E+06
SPO1778	SPO1778						
SPO1779	SPO1779						
SPO1780	SPO1780						109836
SPO1781	SPO1781				2.71E+07	2.34E+07	2.96E+07
SPO1782	SPO1782						
SPO1783	SPO1783				1.71E+07	1.81E+07	1.97E+07
SPO1784	SPO1784						
SPO1785	SPO1785					3.79E+06	
SPO1786	SPO1786						
SPO1787	SPO1787						
SPO1788	SPO1788				1.61E+08	1.51E+08	1.76E+08
SPO1789	SPO1789						
SPO1790	SPO1790						
SPO1791	SPO1791				4.66E+08	6.09E+08	5.58E+08
SPO1792	SPO1792						
SPO1794	SPO1794						
SPO1795	SPO1795					364858	
SPO1796	SPO1796					427472	6.03E+06
SPO1797	SPO1797						
SPO1798	SPO1798						
SPO1799	SPO1799						
SPO1800	SPO1800					595714	1.02E+06
SPO1801	SPO1801				213711	93504.9	210386
SPO1802	SPO1802				2.57E+07	2.21E+07	2.13E+07
SPO1803	SPO1803				268635	208973	203296
SPO1804	SPO1804						78548.8
SPO1805	SPO1805						
SPO1806	SPO1806						
SPO1807	SPO1807					1.22E+07	
SPO1808	SPO1808						
SPO1809	SPO1809						
SPO1810	SPO1810						
SPO1811	SPO1811						
SPO1812	SPO1812				101517	132338	177585
SPO1813	SPO1813				150734	2.28E+08	
SPO1814	SPO1814				2.26E+08	2.21E+08	2.56E+08
SPO1815	SPO1815				2.14E+06		
SPO1816	SPO1816						
SPO1818	SPO1818						
SPO1820	SPO1820				908754	1.31E+06	1.61E+06
SPO1825	SPO1825						1.45E+06
SPO1826	SPO1826					1.27E+06	6.37E+06
SPO1827	SPO1827						
SPO1828	SPO1828						
SPO1829	SPO1829						
SPO1830	SPO1830				2.26E+07	1.61E+07	2.38E+07
SPO1831	SPO1831						
SPO1832	SPO1832						
SPO1833	SPO1833						
SPO1834	SPO1834				2.06E+06	2.96E+06	2.55E+06
SPO1835	SPO1835					8.07E+07	
SPO1836	SPO1836						
SPO1837	SPO1837						
SPO1838	SPO1838						
SPO1839	SPO1839				2.70E+07	2.57E+07	3.28E+07
SPO1840	SPO1840						
SPO1841	SPO1841						
SPO1842	SPO1842						
SPO1843	SPO1843						
SPO1844	SPO1844				462063	481984	493460
SPO1845	SPO1845				1.36E+06	1.09E+06	3.64E+06
SPO1846	SPO1846				2.50E+07	2.80E+07	2.34E+07
SPO1847	SPO1847					589658	
SPO1848	SPO1848						
SPO1849	SPO1849						
SPO1850	SPO1850						
SPO1852	SPO1852				104689		211355
SPO1853	SPO1853						
SPO1854	SPO1854						
SPO1855	SPO1855				642228	386792	1.18E+06
SPO1856	SPO1856						
SPO1857	SPO1857						
SPO1858	SPO1858						
SPO1859	SPO1859				1.66E+06		
SPO1860	SPO1860				9.76E+07	8.19E+07	9.97E+07
SPO1861	SPO1861				6.77E+06	1.10E+07	9.49E+06
SPO1862	SPO1862				1.61E+07	2.54E+07	
SPO1863	SPO1863				394610	562205	533851
SPO1865	SPO1865				751068	897759	773945
SPO1866	SPO1866				375944	337754	868270
SPO1867	SPO1867						
SPO1868	SPO1868				183917	977224	331730
SPO1869	SPO1869				249560	106806	646451
SPO1870	SPO1870				1.03E+06	1.91E+06	3.69E+06
SPO1871	SPO1871					139333	1.48E+06
SPO1872	SPO1872						
SPO1873	SPO1873					1.92E+06	
SPO1874	SPO1874						
SPO1875	SPO1875					49170.4	1.06E+06
SPO1876	SPO1876					240669	124116
SPO1877	SPO1877						150702
SPO1878	SPO1878						
SPO1880	SPO1880				379525		18604.1
SPO1881	SPO1881						
SPO1882	SPO1882				257727	311600	336576
SPO1883	SPO1883						
SPO1884	SPO1884				212894	241704	356758
SPO1886	SPO1886				249490	276263	789535
SPO1887	SPO1887						2.51E+06
SPO1888	SPO1888				173200	198216	395510
SPO1889	SPO1889					198284	
SPO1890	SPO1890						1.20E+06
SPO1891	SPO1891					1.51E+07	
SPO1892	SPO1892				374359	421675	752650
SPO1893	SPO1893				3.02E+06	3.88E+06	4.35E+06
SPO1895	SPO1895						
SPO1896	SPO1896						
SPO1897	SPO1897						
SPO1898	SPO1898					109894	
SPO1899	SPO1899				1.14E+07	1.06E+07	1.25E+07
SPO1900	SPO1900					191975	192056
SPO1901	SPO1901				334157	443934	197073
SPO1902	SPO1902					476536	
SPO1903	SPO1903						
SPO1904	SPO1904						
SPO1905	SPO1905						
SPO1906	SPO1906					152130	
SPO1907	SPO1907					127079	
SPO1908	SPO1908						
SPO1909	SPO1909						
SPO1911	SPO1911						
SPO1912	SPO1912						
SPO1913	SPO1913						486164
SPO1914	SPO1914						
SPO1915	SPO1915						
SPO1916	SPO1916				2.20E+07	1.59E+07	3.40E+07
SPO1917	SPO1917						
SPO1918	SPO1918						769225
SPO1920	SPO1920				504435	650794	1.14E+06
SPO1921	SPO1921				229951	264361	219606
SPO1922	SPO1922						
SPO1923	SPO1923						
SPO1925	SPO1925					2.45E+07	
SPO1926	SPO1926						479997
SPO1927	SPO1927						
SPO1928	SPO1928					247048	1.29E+06
SPO1929	SPO1929				1.74E+06	180412	
SPO1930	SPO1930				205385		25717.5
SPO1932	SPO1932				726879	581112	435513
SPO1933	SPO1933				2.02E+06	337829	292802
SPO1934	SPO1934					280126	722687
SPO1935	SPO1935						
SPO1936	SPO1936						
SPO1937	SPO1937				4.26E+06	6.76E+06	820176
SPO1938	SPO1938						
SPO1939	SPO1939				6.68E+08	7.27E+08	8.50E+08
SPO1940	SPO1940				4.48E+06	4.49E+06	5.00E+06
SPO1941	SPO1941						
SPO1942	SPO1942						
SPO1943	SPO1943						
SPO1944	SPO1944						
SPO1945	SPO1945						
SPO1946	SPO1946				3.11E+07	2.33E+07	3.45E+07
SPO1947	SPO1947					1.16E+08	
SPO1948	SPO1948				8.20E+07	1.95E+07	3.33E+07
SPO1949	SPO1949						
SPO1950	SPO1950						
SPO1951	SPO1951						
SPO1952	SPO1952						
SPO1953	SPO1953						
SPO1954	SPO1954						
SPO1955	SPO1955					468967	
SPO1956	SPO1956						
SPO1957	SPO1957					25286	
SPO1958	SPO1958						
SPO1959	SPO1959						
SPO1960	SPO1960					584881	
SPO1961	SPO1961						
SPO1962	SPO1962						
SPO1963	SPO1963				279690		
SPO1964	SPO1964						878807
SPO1965	SPO1965						
SPO1966	SPO1966				366742	58913.8	1.27E+06
SPO1967	SPO1967						
SPO1968	SPO1968						
SPO1969	SPO1969					4.23E+06	148785
SPO1970	SPO1970						
SPO1971	SPO1971				3.36E+06	4.55E+07	5.60E+07
SPO1972	SPO1972				1.59E+06		
SPO1973	SPO1973						
SPO1974	SPO1974						
SPO1975	SPO1975				1.59E+06	892847	1.83E+06
SPO1976	SPO1976				1.25E+06	1.23E+06	1.84E+06
SPO1977	SPO1977						
SPO1978	SPO1978						
SPO1979	SPO1979						
SPO1980	SPO1980					287861	219427
SPO1982	SPO1982						
SPO1983	SPO1983						
SPO1984	SPO1984				1.05E+08	1.14E+08	77200.4
SPO1985	SPO1985						
SPO1986	SPO1986				2.23E+06	1.41E+06	1.56E+06
SPO1987	SPO1987						
SPO1988	SPO1988						
SPO1989	SPO1989				7.58E+07	5.58E+07	4.91E+07
SPO1990	SPO1990				1.24E+07	1.14E+07	6.28E+06
SPO1991	SPO1991						
SPO1992	SPO1992						77365
SPO1994	SPO1994						
SPO1995	SPO1995					1.55E+06	7.36E+06
SPO1996	SPO1996				3.77E+06	2.15E+06	929919
SPO1997	SPO1997				645646	548309	640674
SPO1998	SPO1998						
SPO2000	SPO2000				5.81E+07	8.86E+07	6.44E+07
SPO2001	SPO2001						
SPO2002	SPO2002						111760
SPO2003	SPO2003						
SPO2004	SPO2004						
SPO2005	SPO2005				2.41E+06	935766	925564
SPO2006	SPO2006					9.51E+07	2.49E+08
SPO2007	SPO2007				3.01E+07	2.29E+07	3.12E+07
SPO2009	SPO2009						
SPO2010	SPO2010					29290.2	
SPO2013	SPO2013						
SPO2014	SPO2014				762033	2.23E+06	349239
SPO2015	SPO2015					1.63E+06	4.00E+06
SPO2016	SPO2016						
SPO2017	SPO2017						
SPO2018	SPO2018				132513	252988	449561
SPO2019	SPO2019						4.24E+06
SPO2020	SPO2020					371709	191872
SPO2021	SPO2021						
SPO2022	SPO2022						
SPO2023	SPO2023				4.99E+06	1.81E+06	904701
SPO2024	SPO2024				1.06E+08	2.31E+08	
SPO2025	SPO2025					269090	
SPO2026	SPO2026				587923	1.58E+06	977111
SPO2027	SPO2027					482408	101542
SPO2028	SPO2028						
SPO2029	SPO2029				1.69E+06	1.62E+06	1.19E+06
SPO2031	SPO2031				138147	254296	198144
SPO2032	SPO2032				1.76E+08	2.05E+08	2.35E+08
SPO2033	SPO2033				805120	815126	883021
SPO2034	SPO2034				294209	188846	308448
SPO2035	SPO2035				5.17E+06		
SPO2036	SPO2036						6.27E+06
SPO2037	SPO2037						
SPO2038	SPO2038						
SPO2039	SPO2039				1.30E+06	601323	388391
SPO2040	SPO2040				155461	120362	
SPO2041	SPO2041						
SPO2042	SPO2042						
SPO2044	SPO2044				1.30E+06	1.49E+06	1.14E+06
SPO2045	SPO2045					1.05E+07	
SPO2046	SPO2046					160128	
SPO2047	SPO2047				234818	1.08E+06	326492
SPO2048	SPO2048					33156.3	
SPO2049	SPO2049						
SPO2050	SPO2050						
SPO2051	SPO2051				482788	472816	343129
SPO2052	SPO2052						
SPO2053	SPO2053				2.21E+07	2.04E+07	2.43E+07
SPO2054	SPO2054						
SPO2055	SPO2055						
SPO2056	SPO2056				1.50E+06	3.26E+06	730517
SPO2057	SPO2057						
SPO2058	SPO2058				8.86E+06	9.91E+06	7.55E+06
SPO2059	SPO2059				259259	459472	554053
SPO2060	SPO2060						5.78E+06
SPO2061	SPO2061				200930	451381	434639
SPO2062	SPO2062						
SPO2063	SPO2063						
SPO2064	SPO2064						
SPO2065	SPO2065				315285	351600	284502
SPO2066	SPO2066				926556	1.06E+06	774904
SPO2067	SPO2067						
SPO2068	SPO2068					280222	
SPO2069	SPO2069				543232		
SPO2070	SPO2070						
SPO2071	SPO2071						
SPO2072	SPO2072				3.87E+06	3.53E+06	4.77E+06
SPO2073	SPO2073						
SPO2074	SPO2074				2.42E+06	2.05E+07	52920.5
SPO2075	SPO2075						
SPO2076	SPO2076				3.48E+07		
SPO2077	SPO2077				2.01E+07	2.82E+07	1.84E+07
SPO2078	SPO2078				1.03E+07	6.72E+08	7.60E+08
SPO2079	SPO2079						
SPO2080	SPO2080						
SPO2081	SPO2081				1.28E+06	1.42E+06	849715
SPO2082	SPO2082						
SPO2083	SPO2083						
SPO2084	SPO2084					64908.1	202333
SPO2085	SPO2085				488228	404637	819112
SPO2086	SPO2086				3.58E+07	3.42E+07	8.27E+06
SPO2087	SPO2087						
SPO2088	SPO2088				9.44E+06		
SPO2089	SPO2089					243884	
SPO2090	SPO2090				328645	242629	397286
SPO2091	SPO2091						
SPO2092	SPO2092				2.51E+06	109601	
SPO2093	SPO2093						
SPO2094	SPO2094						
SPO2095	SPO2095					4.21E+07	
SPO2096	SPO2096						
SPO2097	SPO2097						555481
SPO2098	SPO2098						
SPO2099	SPO2099				5.21E+07	4.44E+07	3.28E+07
SPO2100	SPO2100						
SPO2101	SPO2101				1.01E+06		8.74E+06
SPO2102	SPO2102						4.27E+06
SPO2103	SPO2103					110362	85895.8
SPO2104	SPO2104						
SPO2105	SPO2105						
SPO2106	SPO2106						
SPO2107	SPO2107						
SPO2108	SPO2108						
SPO2109	SPO2109				123545	259169	
SPO2110	SPO2110						
SPO2111	SPO2111						
SPO2113	SPO2113				375034	276437	284788
SPO2116	SPO2116					3.17E+06	
SPO2117	SPO2117						
SPO2118	SPO2118						
SPO2119	SPO2119						1.47E+06
SPO2120	SPO2120						
SPO2121	SPO2121				5.70E+07	809962	
SPO2122	SPO2122						
SPO2123	SPO2123						
SPO2124	SPO2124						
SPO2125	SPO2125						
SPO2126	SPO2126				245603	277828	442761
SPO2127	SPO2127						
SPO2128	SPO2128						
SPO2129	SPO2129						
SPO2130	SPO2130						143232
SPO2131	SPO2131				201912	137361	
SPO2132	SPO2132						4.25E+06
SPO2133	SPO2133				3.93E+07	3.45E+07	2.45E+07
SPO2134	SPO2134				6.65E+06		
SPO2135	SPO2135				1.65E+08	2.03E+08	1.59E+08
SPO2136	SPO2136				1.08E+07		59883.4
SPO2137	SPO2137				163187	149924	119597
SPO2139	SPO2139				739667	332904	464526
SPO2140	SPO2140						
SPO2141	SPO2141				877281	1.08E+06	
SPO2142	SPO2142				303648	486754	508516
SPO2143	SPO2143						
SPO2144	SPO2144					1.37E+07	6.59E+06
SPO2145	SPO2145				273198		233132
SPO2146	SPO2146						
SPO2147	SPO2147						
SPO2148	SPO2148				400082	324846	329666
SPO2149	SPO2149						
SPO2150	SPO2150						
SPO2151	SPO2151				1.77E+06	1.84E+06	1.67E+06
SPO2152	SPO2152					997606	
SPO2153	SPO2153				2.42E+06		
SPO2154	SPO2154						
SPO2155	SPO2155						1.21E+06
SPO2156	SPO2156				80422.2	192843	118122
SPO2157	SPO2157				2.10E+06	2.03E+06	3.91E+06
SPO2158	SPO2158				5.08E+06	5.38E+06	5.03E+06
SPO2159	SPO2159						
SPO2160	SPO2160				569700	246888	509075
SPO2161	SPO2161						
SPO2162	SPO2162						
SPO2163	SPO2163						
SPO2164	SPO2164						
SPO2165	SPO2165				321749	448642	376356
SPO2166	SPO2166				1.40E+06	2.05E+06	1.89E+06
SPO2167	SPO2167					56637.5	
SPO2168	SPO2168					57312.5	
SPO2169	SPO2169						
SPO2170	SPO2170						
SPO2171	SPO2171						
SPO2173	SPO2173						
SPO2174	SPO2174						
SPO2176	SPO2176						
SPO2177	SPO2177						
SPO2178	SPO2178						
SPO2180	SPO2180				251356	316738	226488
SPO2181	SPO2181						
SPO2182	SPO2182						
SPO2183	SPO2183						783919
SPO2184	SPO2184						
SPO2185	SPO2185						
SPO2186	SPO2186				168176		
SPO2187	SPO2187				2.18E+09	2.85E+09	3.28E+09
SPO2188	SPO2188						
SPO2189	SPO2189						
SPO2190	SPO2190						
SPO2191	SPO2191				190550	260325	200088
SPO2192	SPO2192					203562	68601.3
SPO2192a	SPO2192a				2.38E+07		1.23E+06
SPO2193	SPO2193						1.94E+06
SPO2194	SPO2194				438880	778029	395682
SPO2195	SPO2195						
SPO2196	SPO2196				255832	2.76E+06	264538
SPO2197	SPO2197						
SPO2198	SPO2198				154563		369759
SPO2200	SPO2200						76047.1
SPO2201	SPO2201					393590	510332
SPO2202	SPO2202						744678
SPO2203	SPO2203				1.63E+07	1.50E+07	1.59E+07
SPO2205	SPO2205				1.94E+06	2.23E+06	1.83E+06
SPO2206	SPO2206				379112	228053	193222
SPO2208	SPO2208						
SPO2209	SPO2209						
SPO2210	SPO2210				1.48E+08	1.32E+08	1.58E+08
SPO2211	SPO2211						3.06E+06
SPO2212	SPO2212				842703	1.75E+06	891265
SPO2213	SPO2213						
SPO2213a	SPO2213a				3.61E+06	8.95E+06	7.97E+06
SPO2214	SPO2214						
SPO2215	SPO2215				2.63E+06	3.10E+06	2.37E+06
SPO2216	SPO2216				63399.1		
SPO2218	SPO2218				97297	304851	545005
SPO2219	SPO2219				214826	243025	
SPO2220	SPO2220				408630	805509	509280
SPO2221	SPO2221				7.12E+06	5.54E+06	5.47E+06
SPO2222	SPO2222				1.40E+08	1.11E+08	1.48E+08
SPO2223	SPO2223						
SPO2224	SPO2224				541489	132533	251122
SPO2226	SPO2226						
SPO2227	SPO2227				3.35E+06	2.68E+06	
SPO2228	SPO2228					1.87E+06	956137
SPO2229	SPO2229					647616	
SPO2230	SPO2230				562713	688307	426246
SPO2231	SPO2231				1.08E+06	535433	515845
SPO2232	SPO2232						
SPO2233	SPO2233				8.55E+06	7.17E+06	8.62E+06
SPO2234	SPO2234				2.35E+06	5.49E+06	2.49E+06
SPO2235	SPO2235				660109	207890	560689
SPO2237	SPO2237						
SPO2238	SPO2238						9.16E+06
SPO2239	SPO2239						
SPO2240	SPO2240				916058	1.16E+06	2.30E+06
SPO2241	SPO2241				2.55E+06	1.12E+06	847216
SPO2242	SPO2242				1.92E+07	1.35E+07	9.59E+06
SPO2243	SPO2243						
SPO2245	SPO2245						
SPO2246	SPO2246				698581	554968	1.63E+06
SPO2247	SPO2247						
SPO2248	SPO2248						
SPO2250	SPO2250						
SPO2252	SPO2252				283506		
SPO2253	SPO2253						
SPO2257	SPO2257				5.26E+06	5.15E+06	3.23E+06
SPO2258	SPO2258						
SPO2259	SPO2259						529361
SPO2260	SPO2260				2.76E+06	2.95E+06	2.49E+06
SPO2261	SPO2261				2.38E+07	2.73E+07	2.27E+07
SPO2262	SPO2262				624535	932848	832440
SPO2263	SPO2263						
SPO2264	SPO2264				4.99E+06	5.82E+06	4.24E+06
SPO2266	SPO2266						
SPO2267	SPO2267						
SPO2268	SPO2268						
SPO2269	SPO2269						
SPO2270	SPO2270						
SPO2271	SPO2271				1.77E+08	1.74E+08	2.38E+08
SPO2272	SPO2272						
SPO2273	SPO2273						
SPO2274	SPO2274				8.49E+07	1.46E+08	1.60E+08
SPO2275	SPO2275				150514	187889	4.73E+06
SPO2276	SPO2276				495739	696014	1.45E+06
SPO2277	SPO2277				2.39E+08	1.08E+08	1.72E+08
SPO2278	SPO2278						
SPO2279	SPO2279				2.73E+08	3.18E+08	3.31E+08
SPO2280	SPO2280						
SPO2281	SPO2281				397884	410275	423720
SPO2282	SPO2282				956724	1.92E+06	1.22E+06
SPO2283	SPO2283				1.42E+06	1.32E+06	1.79E+06
SPO2284	SPO2284				1.58E+07	1.67E+07	1.46E+07
SPO2285	SPO2285						
SPO2286	SPO2286						
SPO2287	SPO2287						
SPO2288	SPO2288				5.23E+06	4.17E+06	4.40E+06
SPO2289	SPO2289				1.56E+07	1.74E+07	1.36E+07
SPO2290	SPO2290				9.76E+06	1.00E+07	7.65E+06
SPO2293	SPO2293					237089	
SPO2294	SPO2294					455736	
SPO2295	SPO2295				3.64E+08	4.00E+08	3.62E+08
SPO2296	SPO2296				360746	710305	647737
SPO2297	SPO2297						
SPO2298	SPO2298					482109	
SPO2299	SPO2299						
SPO2301	SPO2301				1.08E+06		
SPO2302	SPO2302						
SPO2303	SPO2303						
SPO2304	SPO2304				2.42E+06	3.12E+06	1.57E+06
SPO2305	SPO2305				105919	572355	292172
SPO2307	SPO2307				5.48E+06	2.72E+06	1.11E+06
SPO2308	SPO2308						
SPO2309	SPO2309						
SPO2310	SPO2310						4.94E+06
SPO2311	SPO2311						
SPO2312	SPO2312				1.99E+06	2.62E+06	3.56E+06
SPO2313	SPO2313						
SPO2314	SPO2314				2.61E+06		
SPO2315	SPO2315						
SPO2317	SPO2317						
SPO2318	SPO2318						
SPO2320	SPO2320						
SPO2321	SPO2321						43730
SPO2322	SPO2322				1.34E+06	913255	434421
SPO2323	SPO2323						
SPO2325	SPO2325				638012	674689	1.67E+06
SPO2326	SPO2326				1.21E+07	1.06E+07	1.24E+07
SPO2327	SPO2327						
SPO2328	SPO2328				37032.6	64884.9	86289.5
SPO2329	SPO2329				3.07E+06	3.66E+06	2.28E+06
SPO2330	SPO2330						
SPO2331	SPO2331						243414
SPO2332	SPO2332						
SPO2334	SPO2334				663414	1.09E+07	
SPO2335	SPO2335						
SPO2336	SPO2336				315814	237483	1.15E+06
SPO2337	SPO2337				505415	1.74E+06	541610
SPO2338	SPO2338						
SPO2339	SPO2339						
SPO2340	SPO2340				1.53E+09	1.43E+09	1.46E+09
SPO2341	SPO2341						
SPO2341a	SPO2341a				478476	942929	898877
SPO2342	SPO2342					461658	514944
SPO2343	SPO2343					320065	331114
SPO2344	SPO2344						
SPO2345	SPO2345				3.55E+06	3.56E+06	3.56E+06
SPO2346	SPO2346						
SPO2347	SPO2347						
SPO2348	SPO2348				4.89E+06	45517.1	380831
SPO2349	SPO2349				3.48E+06	4.29E+07	1.21E+07
SPO2350	SPO2350					731086	
SPO2351	SPO2351						
SPO2353	SPO2353						
SPO2354	SPO2354						
SPO2355	SPO2355						
SPO2358	SPO2358				127608		
SPO2359	SPO2359						
SPO2361	SPO2361						
SPO2362	SPO2362					51874.4	
SPO2363	SPO2363						
SPO2364	SPO2364				152005	186576	213303
SPO2365	SPO2365						
SPO2366	SPO2366						
SPO2367	SPO2367						
SPO2368	SPO2368						
SPO2369	SPO2369						
SPO2370	SPO2370						
SPO2371	SPO2371						
SPO2372	SPO2372						
SPO2373	SPO2373				326819	241939	156997
SPO2374	SPO2374						
SPO2376	SPO2376				654623		
SPO2377	SPO2377						
SPO2378	SPO2378						
SPO2381	SPO2381						
SPO2382	SPO2382				1.57E+07		60868.5
SPO2383	SPO2383						
SPO2385	SPO2385						
SPO2386	SPO2386				239078	303982	310641
SPO2387	SPO2387						
SPO2389	SPO2389				1.18E+07	1.11E+07	1.11E+07
SPO2393	SPO2393						
SPO2394	SPO2394						
SPO2395	SPO2395						
SPO2396	SPO2396						
SPO2397	SPO2397				1.19E+06	347365	2.00E+06
SPO2398	SPO2398				374943	481702	327950
SPO2399	SPO2399						1.89E+06
SPO2400	SPO2400						
SPO2401	SPO2401				1.27E+07	1.48E+07	1.38E+07
SPO2409	SPO2409					297712	893573
SPO2410	SPO2410				2.99E+06	2.81E+06	2.95E+06
SPO2411	SPO2411						
SPO2412	SPO2412					508788	
SPO2413	SPO2413						
SPO2414	SPO2414						475287
SPO2415	SPO2415						
SPO2416	SPO2416						
SPO2417	SPO2417				5.73E+07	2.67E+07	3.00E+07
SPO2418	SPO2418						
SPO2419	SPO2419						
SPO2420	SPO2420						
SPO2421	SPO2421						
SPO2422	SPO2422				494014	728984	593378
SPO2424	SPO2424					205839	
SPO2425	SPO2425						
SPO2427	SPO2427						
SPO2428	SPO2428						
SPO2429	SPO2429						
SPO2430	SPO2430						
SPO2431	SPO2431						
SPO2433	SPO2433				952059	941930	811124
SPO2434	SPO2434						
SPO2435	SPO2435				1.95E+08	1.95E+08	2.24E+08
SPO2436	SPO2436				263910	766665	137933
SPO2437	SPO2437						
SPO2438	SPO2438						
SPO2439	SPO2439						
SPO2440	SPO2440				640528	389130	1.61E+06
SPO2441	SPO2441				265380	821480	389214
SPO2442	SPO2442						
SPO2443	SPO2443						
