Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_3.raw
SPO0180	SPO0180						
SPO0181	SPO0181				3.53E+06	3.37E+06	3.42E+06
SPO0182	SPO0182						
SPO0183	SPO0183				791695	469178	
SPO0184	SPO0184						
SPO0185	SPO0185						
SPO0186	SPO0186				3.72E+07	4.39E+07	4.00E+07
SPO0187	SPO0187						
SPO0188	SPO0188						
SPO0189	SPO0189						
SPO0190	SPO0190				2.08E+06	1.75E+06	7.60E+06
SPO0191	SPO0191						
SPO0192	SPO0192						
SPO0193	SPO0193						
SPO0194	SPO0194						
SPO0195	SPO0195						
SPO0197	SPO0197						
SPO0198	SPO0198						
SPO0199	SPO0199				1.61E+06		696192
SPO0200	SPO0200						
SPO0201	SPO0201						
SPO0202	SPO0202						
SPO0203	SPO0203						
SPO0204	SPO0204				5.62E+06	9.49E+06	1.23E+07
SPO0205	SPO0205						
SPO0206	SPO0206						
SPO0207	SPO0207						
SPO0209	SPO0209				3.49E+06	3.70E+06	3.12E+06
SPO0210	SPO0210				2.43E+06	2.70E+06	4.12E+06
SPO0211	SPO0211						
SPO0212	SPO0212					1.32E+06	
SPO0213	SPO0213						
SPO0214	SPO0214						
SPO0215	SPO0215					140362	
SPO0216	SPO0216				1.38E+07	4.10E+06	5.69E+06
SPO0218	SPO0218						
SPO0219	SPO0219				160601	363096	208574
SPO0220	SPO0220						
SPO0221	SPO0221						
SPO0222	SPO0222					2.45E+07	
SPO0223	SPO0223						
SPO0224	SPO0224						
SPO0225	SPO0225						
SPO0226	SPO0226						
SPO0227	SPO0227				1.22E+10	1.23E+10	1.26E+10
SPO0229	SPO0229				2.18E+06		1.67E+07
SPO0230	SPO0230				107195		
SPO0231	SPO0231				3.86E+07	4.30E+07	5.21E+07
SPO0232	SPO0232				4.13E+07	4.19E+07	4.56E+07
SPO0233	SPO0233						
SPO0234	SPO0234						
SPO0235	SPO0235						1.25E+07
SPO0236	SPO0236					211934	
SPO0237	SPO0237				1.20E+06	506822	423503
SPO0238	SPO0238						
SPO0239	SPO0239						
SPO0240	SPO0240				1.33E+08	1.51E+08	2.03E+08
SPO0241	SPO0241						
SPO0247	SPO0247				5.14E+06	6.05E+06	
SPO0248	SPO0248					103604	314800
SPO0249	SPO0249						
SPO0250	SPO0250						
SPO0251	SPO0251						
SPO0252	SPO0252				146984		
SPO0253	SPO0253				5.08E+07	3.18E+07	5.14E+07
SPO0254	SPO0254					288224	87230.9
SPO0255	SPO0255						
SPO0257	SPO0257						
SPO0258	SPO0258				285205		2.33E+06
SPO0260	SPO0260				2.99E+06	3.01E+06	5.29E+06
SPO0261	SPO0261						
SPO0262	SPO0262				132281	180540	132095
SPO0264	SPO0264				635000	642435	1.00E+06
SPO0265	SPO0265						
SPO0266	SPO0266						
SPO0267	SPO0267						
SPO0268	SPO0268				1.51E+07	1.64E+07	1.77E+07
SPO0269	SPO0269				379997	365412	370922
SPO0270	SPO0270				619065	1.47E+06	725525
SPO0271	SPO0271				575113	674263	575685
SPO0272	SPO0272						
SPO0273	SPO0273						225422
SPO0274	SPO0274						
SPO0276	SPO0276						
SPO0277	SPO0277						
SPO0278	SPO0278						1.77E+06
SPO0281	SPO0281						
SPO0282	SPO0282						
SPO0283	SPO0283						30702
SPO0284	SPO0284						
SPO0285	SPO0285						
SPO0286	SPO0286					2.08E+06	
SPO0287	SPO0287				9.77E+06		
SPO0288	SPO0288						
