Accession Number	Annotation	1	2	3
SPO0997	Sulfur oxidation B protein	681058	735772	745933
SPO0998	Sulfur oxidation molybdopterin C protein	344472	322622	340776
SPO0999	Diheme cytochrome c SoxD		64779.4	60126
SPO1001	Sulfur oxidation F protein	1.52E+06	1.52E+06	1.59E+06
SPO1002	"Transcriptional regulator, AraC family"	1.18E+06	1.20E+06	1.14E+06
SPO1003	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	5.70E+07	5.91E+07	5.71E+07
SPO1004	ATP-dependent Clp protease ATP-binding subunit ClpX	2.25E+07	2.38E+07	2.40E+07
SPO1005	Endoribonuclease L-PSP family protein	4.61E+06	4.49E+06	4.94E+06
SPO1006	"NADH dehydrogenase subunit, putative"	1.28E+07	1.29E+07	1.31E+07
SPO1007	Mce/MlaD domain-containing protein	8.03E+06	8.24E+06	8.06E+06
SPO1008	DUF2155 domain-containing protein	2.94E+06	2.64E+06	2.65E+06
SPO1009	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	520006	406366	484836
SPO1010	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)	1.36E+07	1.38E+07	1.32E+07
SPO1011	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	1.51E+07	1.41E+07	1.63E+07
SPO1012	"Transcriptional regulator, LuxR family"	931285	967117	961364
SPO1013	Thiolase family protein	480939	506229	450950
SPO1014	AMP-binding enzyme	122626	124740	122273
SPO1015	"3-hydroxybutyrate dehydrogenase, putative"	248799	210422	228624
SPO1016	Glycosyl transferase family 2	665222	653291	683040
SPO1017	"Branched-chain amino acid ABC transporter, ATP-binding protein"	136445	130015	144894
SPO1018	"Branched-chain amino acid ABC transporter, ATP-binding protein"	221160	182142	226658
SPO1019	"Branched-chain amino acid ABC transporter, permease protein"	75673		44883.8
SPO1020	"Branched-chain amino acid ABC transporter, permease protein"
SPO1021	"Branched-chain amino acid ABC transporter, periplasmic substrate-binding protein"	306736	320568	362065
SPO1022	"Transcriptional regulator, putative"	2.08E+06	1.90E+06	1.87E+06
SPO1023	Response regulator	911030	904979	993111
SPO1024	Uncharacterized protein	254452	211032	145955
SPO1025	histidine kinase (EC 2.7.13.3)	287478	302396	291411
SPO1026	Flagellar motor switch protein FliN-like C-terminal domain-containing protein	1.15E+06	493560	1.43E+06
SPO1027	Beta-lactamase hydrolase-like protein phosphatase-like domain-containing protein	6.04E+06	6.01E+06	6.49E+06
SPO1028	YeeE/YedE family protein	1.08E+06	642837	786119
SPO1029	YeeE/YedE family protein	235490	208008	195709
SPO1030	Metallo-beta-lactamase family protein	3.22E+06	3.26E+06	3.30E+06
SPO1031	Uncharacterized protein	491456	346902	328510
SPO1032	Uncharacterized protein	671177	536264	560139
SPO1033	GapR-like DNA-binding domain-containing protein	4.67E+06	3.00E+06	4.03E+06
SPO1034	Uncharacterized protein	6.61E+06	5.98E+06	6.04E+06
SPO1036	"Site-specific recombinase, phage integrase family"	557052	536081	556098
SPO1037	Uncharacterized protein	1.15E+06	1.04E+06	1.17E+06
SPO1041	Uncharacterized protein	256218	207600	248923
SPO1044	Terminase large subunit gp17-like C-terminal domain-containing protein	72091.8	75787.4	82617.9
SPO1044a	Unknown	2.11E+06	2.04E+06	1.78E+06
SPO1045	HEPN domain-containing protein	646214	646837	661114
SPO1046	Uncharacterized protein	2.39E+06	2.20E+06	2.33E+06
SPO1047	RNA-directed DNA polymerase (EC 2.7.7.49)	1.80E+06	1.77E+06	1.80E+06
SPO1048	Restriction endonuclease type II NotI domain-containing protein	2.22E+06	2.18E+06	2.19E+06
SPO1049	DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37)	2.63E+06	2.49E+06	2.64E+06
SPO1051	Uncharacterized protein		30452.1
SPO1053	Cell division protein ZipA	960720	945775	935202
SPO1054	Integral membrane protein		79196.6
SPO1055	"Membrane protein, putative"	9219.21
SPO1056	NmrA-like domain-containing protein	88986.1	79298.2	83236.2
SPO1057	"Transcriptional regulator, AraC family"	937428	968913	947760
SPO1058	"Acyltransferase, HtrB family"	762251	763936	840345
SPO1059	Serine/threonine protein kinase (EC 2.7.1.-)	1.48E+06	1.39E+06	1.60E+06
SPO1060	Solute-binding protein family 3/N-terminal domain-containing protein	176633	138606	175031
SPO1061	LysM domain protein	636940	575748	629658
SPO1062	LysM domain protein	4.73E+06	4.65E+06	5.45E+06
SPO1063	FHA domain-containing protein	274886	242598	315586
SPO1064	"Serine/threonine protein phosphatase, putative"	760046	756119	836782
SPO1065	G domain-containing protein	1.70E+06	1.64E+06	1.71E+06
SPO1066	Uncharacterized protein	2.64E+06	2.55E+06	2.41E+06
SPO1067	Roadblock/LAMTOR2 domain-containing protein	32142.5	51232	44383.3
SPO1068	Dynamin N-terminal domain-containing protein	1.04E+06	989727	1.04E+06
SPO1069	Dynamin N-terminal domain-containing protein	3.03E+06	2.74E+06	2.99E+06
SPO1070	FAD-dependent oxidoreductase 2 FAD binding domain-containing protein	522526	479645	494314
SPO1071	"Glutamine amidotransferase, class-I"	465461	366582	435001
SPO1072	Probable transcriptional regulatory protein SPO1072	2.09E+07	2.30E+07	2.30E+07
SPO1073	Bordetella uptake gene family protein	258783	247267	267151
SPO1076	TrkA-C domain protein	969534	873170	891200
SPO1077	Nitroreductase family protein	400519	383961	384239
SPO1078	"Transcriptional regulator, LysR family"	482780	458178	481287
SPO1080	"Membrane protein, putative"	20185.6	22182.7	14465.8
SPO1081	DUF1036 domain-containing protein	1.24E+06	1.35E+06	1.39E+06
SPO1082	HTH-type transcriptional regulator BetI	1.85E+06	1.76E+06	1.73E+06
SPO1083	Choline sulfatase (EC 3.1.6.6)	1.79E+06	1.71E+06	1.77E+06
SPO1084	Lumazine-binding protein	87759.9	59824.4	60236
SPO1085	Carboxyvinyl-carboxyphosphonate phosphorylmutase	7.75E+06	8.36E+06	8.66E+06
SPO1086	HTH-type transcriptional regulator BetI	3.62E+06	3.38E+06	3.26E+06
SPO1087	"Membrane protein, putative"		3235.78
SPO1088	Choline dehydrogenase (EC 1.1.99.1)	226378	243469	232270
SPO1089	DUF465 domain-containing protein	4.08E+06	3.03E+06	2.98E+06
SPO1090	"DNA-binding protein, putative"	1.14E+06	1.12E+06	1.14E+06
SPO1091	YCII-related domain protein	109725	110639	64735.2
SPO1092	"Transcriptional regulator, LysR family"	828197	784708	784308
SPO1093	Bcr/CflA family efflux transporter	460160	368939	348735
SPO1094	"Propionyl-CoA carboxylase, beta subunit (EC 6.4.1.3)"	3.52E+06	3.53E+06	3.57E+06
SPO1094a	Unknown	1.30E+06	1.26E+06	1.30E+06
SPO1096	"Lipoprotein, putative"	569878	616179	815918
SPO1097	Fido domain-containing protein	1.84E+06	2.08E+06	1.83E+06
SPO1101	Propionyl-CoA carboxylase alpha chain (EC 6.4.1.3)	8.51E+06	8.30E+06	8.78E+06
SPO1102	"Lipoprotein, putative"	638285	699828	729828
SPO1103	DUF4174 domain-containing protein	1.66E+06	1.57E+06	1.49E+06
SPO1104	Sulfotransferase family protein		119941
SPO1105	methylmalonyl-CoA mutase (EC 5.4.99.2)	5.58E+06	5.41E+06	5.70E+06
SPO1106	Glyoxalase-like domain-containing protein	712761	607314	593230
SPO1107	"Phosphinothricin N-acetyltransferase, putative"	463665	420346	439026
SPO1108	"DnaJ-like protein DjlA, putative"	2.28E+06	2.28E+06	2.21E+06
SPO1109	Endonuclease/exonuclease/phosphatase family protein	454028	405111	330267
SPO1110	"Transcriptional regulator, LysR family"	1.33E+06	1.23E+06	1.28E+06
SPO1111	Putative hydro-lyase SPO1111 (EC 4.2.1.-)	191397	243946	157128
SPO1112	"TRAP transporter, periplasmic protein"	581885	541587	608959
SPO1114	TRAP transporter large permease protein
SPO1115	DUF2848 domain-containing protein	152870	147906	135960
SPO1116	Peptidoglycan binding-like domain-containing protein	281128	301730	290165
SPO1117	"Phosphatase, Ppx/GppA family"	3.28E+06	3.26E+06	3.05E+06
SPO1118	Chromosomal replication initiator protein DnaA domain-containing protein	1.41E+06	1.45E+06	1.50E+06
SPO1119	Membrane protein	1.73E+06	1.56E+06	1.67E+06
SPO1120	HTH luxR-type domain-containing protein	1.47E+06	1.50E+06	1.43E+06
SPO1121	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	1.41E+07	1.49E+07	1.42E+07
SPO1122	Uncharacterized protein	97886.4	89806.2	108264
SPO1123	Lipoprotein releasing system transmembrane protein LolE	6.75E+06	6.85E+06	7.04E+06
SPO1124	Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-)	4.07E+06	4.00E+06	3.99E+06
SPO1125	Cytochrome c domain-containing protein			63438
SPO1126	Cytochrome c family protein
SPO1127	Cytochrome c family protein	359125	376494	302766
SPO1128	Lipoprotein	917794	878729	878982
SPO1129	DNA-3-methyladenine glycosylase I	2.45E+06	2.38E+06	2.19E+06
SPO1130	Thioesterase family protein	731023	610920	574931
SPO1131	"Glycine betaine/proline ABC transporter, periplasmic substrate-binding protein"	8.97E+06	9.62E+06	1.09E+07
SPO1132	Quaternary amine transport ATP-binding protein (EC 7.6.2.9)	1.39E+06	1.20E+06	1.37E+06
SPO1133	"Glycine betaine/proline ABC transporter, permease protein"	944702	774938	873004
SPO1134	NnrU family protein	283007	343185	332611
SPO1135	3-dehydroquinate dehydratase	4.43E+06	4.49E+06	4.49E+06
SPO1136	Diaminobutyric acid transaminase	895810	829567	787083
SPO1137	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.16)	79823	93726.8	85561.8
SPO1138	"AsnC/Lrp-like DNA-binding protein, transcriptional regulator"	155085	167810	158464
SPO1139	"N-acetyl-L-2,4-diaminobutyric acid deacetylase"	540190	540803	598601
SPO1140	Ectoine hydrolase	945638	893253	914015
SPO1141	Ornithine cyclodeaminase/mu-crystallin family protein	471631	418248	433930
SPO1142	"Threonine dehydratase, putative"	622147	621634	611553
SPO1143	Ectoine utilization protein EutA	300663	291411	236648
SPO1147	Ectoine/5-hydroxyectoine-binding periplasmic protein UehA (Uptake of ectoine and hydroxyectoine protein A)	97543.7	81178.6	84226.1
SPO1148	"Transcriptional regulator, GntR family"	1.07E+06	1.09E+06	1.08E+06
SPO1150	"RNA methyltransferase, TrmH family, group 3"	5.34E+06	5.35E+06	5.14E+06
SPO1151	Uncharacterized protein	775353	505399	454236
SPO1152	"Twin-arginine translocation pathway signal sequence domain protein, putative"	1.19E+06	1.11E+06	1.13E+06
SPO1153	CoA-binding domain protein	4.64E+06	4.74E+06	4.50E+06
SPO1154	"Lipoprotein, putative"	6.69E+06	6.85E+06	6.59E+06
SPO1155	Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)	1.52E+06	1.20E+06	1.41E+06
SPO1156	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	4.46E+06	4.31E+06	4.41E+06
SPO1157	DUF2867 domain-containing protein	1.05E+06	928337	826039
SPO1158	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase 1 (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase 1)	8.61E+06	8.61E+06	8.22E+06
SPO1159	DUF2147 domain-containing protein	3.43E+06	3.85E+06	3.89E+06
SPO1160	Thioredoxin domain-containing protein	398960	408803	397560
SPO1161	"Transcriptional regulator, AraC family"	1.97E+06	1.83E+06	1.93E+06
SPO1162	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	5.38E+06	5.53E+06	5.65E+06
SPO1163	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	7.05E+06	7.11E+06	7.70E+06
SPO1164	Transcription regulator AsnC/Lrp ligand binding domain-containing protein	6.26E+06	5.95E+06	6.24E+06
SPO1165	VWFA domain-containing protein	114426	95442.9	64973.8
SPO1166	"Aminotransferase, class III family"	7.43E+06	7.14E+06	6.99E+06
SPO1171	Pyruvate carboxylase (EC 6.4.1.1)	4.66E+07	4.70E+07	4.90E+07
SPO1172	FMN-dependent alpha-hydroxy acid dehydrogenase family protein	6.10E+06	6.10E+06	5.87E+06
SPO1173	diguanylate cyclase (EC 2.7.7.65)	116037	82812.6	88165.3
SPO1174	DNA 3'-5' helicase (EC 5.6.2.4) (DNA 3'-5' helicase II)	3.14E+06	3.10E+06	3.17E+06
SPO1176	Ser/Thr protein phosphatase family protein	1.26E+06	1.05E+06	930942
SPO1177	DUF1127 domain-containing protein	2.25E+06	2.35E+06	2.35E+06
SPO1178	Transcriptional regulator MraZ	1.02E+07	1.04E+07	9.33E+06
SPO1179	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	2.77E+06	2.69E+06	2.60E+06
SPO1180	Cell division protein FtsL	2.24E+06	2.19E+06	2.26E+06
SPO1181	Penicillin-binding protein	1.72E+06	1.73E+06	1.81E+06
SPO1182	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)"	3.60E+06	3.55E+06	3.79E+06
SPO1183	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme)	3.45E+06	3.65E+06	3.71E+06
SPO1184	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	1.29E+06	1.00E+06	919477
SPO1185	Uncharacterized protein	1.23E+06	1.14E+06	1.12E+06
SPO1186	TPR domain protein	1.22E+06	1.11E+06	1.18E+06
SPO1187	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	1.18E+06	1.14E+06	1.18E+06
SPO1188	NAD(FAD)-utilizing dehydrogenase	1.89E+06	1.89E+06	1.99E+06
SPO1190	Transcriptional regulator family protein	338687	375674	336358
SPO1191	Glutathione S-transferase (EC 2.5.1.18)	991161	936515	967040
SPO1192	Lumazine-binding protein	481605	425757	423497
SPO1193	Tautomerase (EC 5.3.2.-)	49601.8	42971.3	59728.9
SPO1194	Probable peptidoglycan glycosyltransferase FtsW (EC 2.4.99.28) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase)	1.50E+06	1.47E+06	1.63E+06
SPO1195	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	8.62E+06	8.70E+06	8.83E+06
SPO1196	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	2.03E+07	1.99E+07	1.92E+07
SPO1197	Amino acid permease	658242	642835	516483
SPO1198	DUF2484 family protein	257265	221244	178211
SPO1200	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	2.14E+06	2.32E+06	2.26E+06
SPO1201	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	9.57E+06	9.60E+06	9.60E+06
SPO1202	Cell division protein FtsQ	1.84E+06	1.88E+06	1.85E+06
SPO1203	Cell division protein FtsA	4.35E+06	4.26E+06	4.66E+06
SPO1204	Cell division protein FtsZ	2.06E+07	2.10E+07	2.15E+07
SPO1205	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	2.34E+06	2.25E+06	2.23E+06
SPO1206	Outer membrane protein assembly factor BamD	4.60E+06	4.28E+06	4.27E+06
SPO1207	DNA repair protein RecN (Recombination protein N)	4.26E+06	4.19E+06	4.37E+06
SPO1208	Voltage-gated chloride channel family protein	603334	613374	594893
SPO1209	Microcystinase C (MlrC)	2.76E+06	2.91E+06	2.76E+06
SPO1210	"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein"	2.64E+06	2.57E+06	2.58E+06
SPO1211	"Oligopeptide ABC transporter, permease protein"	345039	329634	385653
SPO1212	"Oligopeptide ABC transporter, permease protein"	2.25E+06	2.14E+06	2.07E+06
SPO1213	"Oligopeptide ABC transporter, ATP-binding protein"	2.11E+06	1.95E+06	1.96E+06
SPO1214	Hippurate hydrolase (EC 3.5.1.32)	6.28E+06	6.65E+06	6.50E+06
SPO1215	"Peptidase, M20/M25/M40 family"	2.84E+06	2.80E+06	2.84E+06
SPO1217	"DNA-binding protein, putative"	219278	179914	200961
SPO1218	"Site-specific recombinase, phage integrase family"	271827	265196	244458
SPO1219	"Site-specific recombinase, phage integrase family"	815597	681870	691961
SPO1220	Uncharacterized protein	1.85E+06	1.59E+06	1.60E+06
SPO1221	KAP NTPase domain-containing protein	2.71E+06	2.50E+06	2.63E+06
SPO1226	"Lipoprotein, putative"	473507	479483	461140
SPO1226a	Unknown	714435	677621	693002
SPO1228	Uncharacterized protein	205024	180504	158453
SPO1229	Uncharacterized protein	111500	100276	99406.1
SPO1230	TraD/TraG TraM recognition site domain-containing protein	367731	341089	356807
SPO1232	"DNA-binding protein, H-NS family"	188752	204498	198554
SPO1233	Helicase ATP-binding domain-containing protein	250959	266912	237459
SPO1234	ABC-three component systems C-terminal domain-containing protein	2.43E+06	2.53E+06	2.66E+06
SPO1235	DUF2326 domain-containing protein	1.65E+06	1.53E+06	1.52E+06
SPO1236	Uncharacterized protein	2.12E+06	1.91E+06	2.02E+06
SPO1237	Metallo-beta-lactamase domain-containing protein	1.31E+06	1.23E+06	1.21E+06
SPO1239	Protein-L-isoaspartate O-methyltransferase (Protein L-isoaspartyl methyltransferase)	1.27E+07	1.38E+07	1.40E+07
SPO1240	"Type I secretion outer membrane protein, TolC family"	3.24E+07	3.37E+07	3.27E+07
SPO1241	Glycerol-3-phosphate dehydrogenase	4.85E+06	5.49E+06	5.86E+06
SPO1242	Cobyric acid synthase	1.58E+06	1.61E+06	1.52E+06
SPO1243	Elongation factor P	6.81E+06	6.78E+06	7.33E+06
SPO1244	Elongation factor P (EF-P)	3.19E+07	3.03E+07	3.30E+07
SPO1245	"ABC transporter, permease protein"	926750	770130	720730
SPO1246	Aminomethyl transferase family protein	2.85E+06	2.89E+06	2.80E+06
SPO1247	"Glycosyl transferase, group 2 family protein"	1.31E+06	1.28E+06	1.36E+06
SPO1249	"Paraquat-inducible protein, putative"	1.01E+06	850809	932152
SPO1250	"Lipoprotein, putative"	2.35E+06	2.50E+06	2.64E+06
SPO1251	Uncharacterized protein	912096	837964	859192
SPO1252	Uncharacterized protein	166551	181203	159781
SPO1252a	Unknown	2.38E+06	2.25E+06	2.27E+06
SPO1253	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	7.93E+06	7.67E+06	8.05E+06
SPO1254	Uncharacterized protein	1.54E+06	1.61E+06	1.77E+06
SPO1255	Alkylhydroperoxidase AhpD family core domain protein	7.77E+06	8.65E+06	8.33E+06
SPO1256	NDP-polyphosphate phosphotransferase 2 (EC 2.7.4.-) (Polyphosphate kinase PPK2 2) (RpPPK2-2)	3.53E+06	3.46E+06	2.84E+06
SPO1257	Glutathione S-transferase family protein	4.59E+06	4.83E+06	4.33E+06
SPO1258	"Hydrolase, alpha/beta fold family"	2.07E+06	2.00E+06	2.00E+06
SPO1259	TIGR02453 family protein	2.32E+06	2.33E+06	2.33E+06
SPO1260	Multidrug-efflux transporter	236715	186137	213728
SPO1261	"Transcriptional regulator, MarR family"	201395	155936	189629
SPO1263	Uncharacterized protein	7.09E+06	6.94E+06	6.80E+06
SPO1264	Aminotransferase (EC 2.6.1.-)	6.49E+06	6.49E+06	6.76E+06
SPO1265	"DNA-binding protein, putative"	2.17E+07	2.03E+07	2.02E+07
SPO1266	FAD assembly factor SdhE	1.06E+06	1.10E+06	1.02E+06
SPO1267	"Transcriptional regulator, MarR family"	39900.6	66314.8	37817.7
SPO1268	"Lipoprotein, putative"	131401	112186	115856
SPO1269	von Willebrand factor type A domain prot	186105	190486	151210
SPO1270	"Lactoylglutathione lyase, putative"	3.53E+06	3.19E+06	2.40E+06
SPO1271	TPR domain protein	1.82E+06	1.76E+06	1.63E+06
SPO1272	Lipoprotein	1.01E+07	1.02E+07	1.13E+07
SPO1273	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)	1.25E+07	1.27E+07	1.32E+07
SPO1274	Lipoprotein	843153	878877	889788
SPO1275	Cold shock family protein	1.15E+08	1.19E+08	1.16E+08
SPO1276	ArsC family protein	3.11E+06	3.32E+06	3.10E+06
SPO1278	DoxX	727764	793852	719096
SPO1279	Putative DNA-binding domain-containing protein	592788	572755	573623
SPO1280	UPF0276 protein SPO1280	112446	117736	105543
SPO1281	Uncharacterized protein	1.92E+06	1.57E+06	1.94E+06
SPO1282	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	9.95E+06	9.52E+06	9.42E+06
SPO1283	MAPEG family protein	2.01E+06	1.88E+06	1.78E+06
SPO1284	"Transcriptional regulator, ArsR family"	1.43E+06	1.35E+06	1.46E+06
SPO1285	"Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.1.93) (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial)"	2.98E+06	3.12E+06	3.23E+06
SPO1286	AB hydrolase-1 domain-containing protein	788043	720819	745623
SPO1287	Glyoxalase family protein	390174	266856	333733
SPO1288	Peptidase M15A C-terminal domain-containing protein	706028	648367	658305
SPO1289	"Hydrolase, alpha/beta fold family"	1.35E+06	1.37E+06	1.21E+06
SPO1290	CENP-V/GFA domain-containing protein	1.58E+06	1.70E+06	1.68E+06
SPO1291	"Polyhydroxyalkanoate depolymerase, intracellular"	1.15E+07	1.09E+07	1.10E+07
SPO1292	Poly(3-hydroxyalkanoate) polymerase	6.85E+06	6.49E+06	6.52E+06
SPO1293	"Phasin, PhaP"	1.48E+08	1.05E+08	1.32E+08
SPO1294	Polyhydroxyalkanoate synthesis repressor PhaR	5.35E+06	5.10E+06	5.31E+06
SPO1295	"Aminotransferase, DegT/DnrJ/EryC1/StrS family"	3.65E+06	3.17E+06	3.33E+06
SPO1298	"Oxidoreductase, aldo/keto reductase family protein"	295879	276729	287604
SPO1299	"Transcriptional regulator, LysR family"	236680	240004	235433
SPO1300	Glutamine synthetase family protein	6.23E+06	6.05E+06	6.39E+06
SPO1301	"Glutamine amidotransferase, class I"	1.73E+06	1.51E+06	1.62E+06
SPO1302	Glutamine synthetase family protein	3.18E+06	3.12E+06	3.37E+06
SPO1303	"Fructosyl-amino acid oxidase, putative"	1.55E+06	1.42E+06	1.44E+06
SPO1304	"His/Glu/Gln/Arg/opine family ABC transporter, permease protein"	652888	635828	599783
SPO1305	"ABC transporter, permease protein, HisMQ family"	1.61E+06	1.44E+06	1.45E+06
SPO1306	"His/Glu/Gln/Arg/opine family ABC transporter, periplasmic His/Glu/Gln/Arg/opine family-binding protein"	7.29E+06	6.98E+06	8.37E+06
SPO1307	"His/Glu/Gln/Arg/opine family ABC transporter, ATP-binding protein"	3.59E+06	3.58E+06	3.62E+06
SPO1308	Uncharacterized protein	1.15E+06	1.15E+06	1.03E+06
SPO1309	Co-chaperone DjlA N-terminal domain-containing protein	1.95E+06	1.67E+06	1.73E+06
SPO1310	Co-chaperone DjlA N-terminal domain-containing protein	3.77E+06	3.14E+06	3.73E+06
SPO1310a	Unknown	1.22E+07	1.19E+07	1.07E+07
SPO1311	Renal dipeptidase family protein	1.68E+06	1.72E+06	1.60E+06
SPO1312	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	9.89E+06	9.71E+06	1.01E+07
SPO1313	Protein-export membrane protein SecG	1.53E+06	1.79E+06	1.96E+06
SPO1314	nitrile hydratase (EC 4.2.1.84)	1.29E+07	1.38E+07	1.37E+07
SPO1315	Nitrile hydratase subunit beta (NHase) (EC 4.2.1.84)	1.84E+07	1.78E+07	1.83E+07
SPO1316	Nitrile hydratase beta subunit-like N-terminal domain-containing protein	1.24E+06	1.02E+06	1.12E+06
SPO1317	DUF2842 domain-containing protein	5.80E+06	4.47E+06	4.58E+06
SPO1318	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	1.26E+07	1.30E+07	1.28E+07
SPO1319	Uncharacterized protein	442048	369686	334753
SPO1320	"Lipoprotein, putative"	4.66E+06	4.65E+06	4.97E+06
SPO1321	thiamine diphosphokinase (EC 2.7.6.2)	848578	828120	823494
SPO1322	"Membrane protein, putative"	44400.8	60808.7	52382.9
SPO1323	L-serine dehydratase (EC 4.3.1.17)	1.71E+06	1.64E+06	1.72E+06
SPO1324	Glutathione S-transferase family protein	233632	403809	307619
SPO1326	"Transcriptional regulator, MarR family"	410081	395278	398506
SPO1327	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	2.47E+06	2.59E+06	2.54E+06
SPO1328	Glutathione reductase (GRase) (EC 1.8.1.7)	1.22E+07	1.14E+07	1.16E+07
SPO1329	Protein HflK	1.87E+07	1.72E+07	1.92E+07
SPO1330	Protein HflC	1.57E+07	1.66E+07	1.70E+07
SPO1331	Lipoprotein	689535	687270	657164
SPO1333	Probable periplasmic serine endoprotease DegP-like (EC 3.4.21.107) (Protease Do)	1.58E+07	1.73E+07	1.77E+07
SPO1334	DUF4440 domain-containing protein	2.29E+06	2.28E+06	2.33E+06
SPO1335	"Transcriptional regulator, Crp/Fnr family"	3.05E+06	3.05E+06	2.97E+06
SPO1336	Inner membrane-spanning protein YciB	1.53E+06	1.44E+06	1.53E+06
SPO1337	"Membrane protein, putative"	150083	127346	124603
SPO1337a	Unknown	944971	902490	917580
SPO1339	Signal recognition particle receptor FtsY (SRP receptor) (EC 3.6.5.4)	7.52E+06	8.01E+06	7.82E+06
SPO1340	"Membrane protein, putative"	117280	111405	112916
SPO1341	"Alkane-1 monooxygenase, putative"	729832	517460	389092
SPO1342	Uncharacterized protein	74868.8	51805.7	67149.9
SPO1343	Glutathione S-transferase family protein	1.23E+06	1.16E+06	1.10E+06
SPO1344	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	3.20E+06	3.20E+06	3.10E+06
SPO1345	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	1.52E+07	1.61E+07	1.57E+07
