Accession Number	Annotation	1	2	3
SPO0062	YlxR domain-containing protein	4.71E+06	4.81E+06	4.91E+06
SPO0063	Transcription termination/antitermination protein NusA	2.29E+07	2.60E+07	2.80E+07
SPO0064	Ribosome maturation factor RimP	1.57E+06	1.55E+06	1.78E+06
SPO0066	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase)	4.35E+06	4.28E+06	4.32E+06
SPO0067	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	3.35E+06	3.04E+06	2.74E+06
SPO0068	"Transcriptional regulator, putative"	2.18E+06	2.05E+06	1.88E+06
SPO0069	"Hydrolase, carbon-nitrogen family"	2.10E+06	2.00E+06	1.98E+06
SPO0070	Glutaredoxin	1.46E+06	1.59E+06	1.53E+06
SPO0071	"Competence protein F, putative"	225278	233330	220307
SPO0072	Methyltransferase type 11 domain-containing protein	1.01E+06	917756	948479
SPO0073	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	4.14E+06	4.08E+06	4.03E+06
SPO0075	ErfK/YbiS/YcfS/YnhG family protein/Tat domain protein	1.96E+07	1.95E+07	2.06E+07
SPO0076	"Lipoprotein, putative"	2.07E+07	2.25E+07	2.18E+07
SPO0077	PTS IIA-like nitrogen-regulatory protein PtsN	6.30E+06	5.81E+06	6.22E+06
SPO0078	Ribosome hibernation promoting factor (HPF)	6.28E+07	6.24E+07	6.41E+07
SPO0079	Lipopolysaccharide export system ATP-binding protein LptB	3.33E+06	3.25E+06	3.26E+06
SPO0080	Organic solvent tolerance-like N-terminal domain-containing protein	3.06E+06	3.18E+06	3.56E+06
SPO0081	Lipopolysaccharide export system protein LptC	862813	824848	923890
SPO0082	Arabinose 5-phosphate isomerase (EC 5.3.1.13)	6.40E+06	6.22E+06	6.12E+06
SPO0083	"Exonuclease, putative"	3.23E+06	3.58E+06	3.32E+06
SPO0084	betaine-aldehyde dehydrogenase (EC 1.2.1.8)	1.90E+06	1.86E+06	2.11E+06
SPO0085	Uncharacterized protein		115123	63190.5
SPO0086	"Lipoprotein, putative"	315506	323307	332624
SPO0087	Porin domain-containing protein	3.15E+06	793890	1.36E+06
SPO0088	Cytochrome c domain-containing protein	866004	569126	723188
SPO0089	Imelysin-like domain-containing protein	72337.3	62307.3	55755
SPO0090	Twin-arginine translocation pathway signal	500828	489997	526071
SPO0091	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O)	998589	926460	958584
SPO0092	"Heat shock protein, Hsp70 family"	1.82E+06	1.75E+06	1.83E+06
SPO0093	nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase)	1.42E+06	1.29E+06	1.35E+06
SPO0094	histidine kinase (EC 2.7.13.3)	74949.6	63897	94897.3
SPO0095	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	3.23E+06	3.29E+06	3.29E+06
SPO0096	"Membrane protein, putative"	64667.4	63426.1	65789.1
SPO0097	Aldehyde dehydrogenase family protein	4.67E+06	4.52E+06	4.67E+06
SPO0098	"Peptide/opine/nickel uptake family ABC transporter, ATP-binding protein"	855303	801598	786841
SPO0099	"Peptide/opine/nickel uptake family ABC transporter, permease protein"	1.66E+06	1.49E+06	1.23E+06
SPO0100	"Peptide/opine/nickel uptake family ABC transporter, permease protein"	729613	616610	647615
SPO0101	"Peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein"	7.12E+06	6.95E+06	7.55E+06
SPO0102	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	3.42E+06	3.52E+06	3.38E+06
SPO0103	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	3.99E+06	4.22E+06	4.08E+06
SPO0104	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	9.28E+06	9.04E+06	9.55E+06
SPO0105	Monooxygenase family protein	1.80E+06	1.85E+06	1.87E+06
SPO0106	UPF0246 protein SPO0106	4.73E+06	4.91E+06	4.99E+06
SPO0107	DNA helicase RecQ (EC 5.6.2.4)	1.56E+06	1.34E+06	1.42E+06
SPO0109	"Membrane protein, putative"	1.25E+06	826408	947732
SPO0110	"ABC transporter, ATP binding/permease protein"	1.25E+06	1.23E+06	1.22E+06
SPO0111	Membrane fusion protein biotin-lipoyl like domain-containing protein	5.75E+06	5.71E+06	5.85E+06
SPO0112	Poly(3-hydroxyalkanoate) polymerase family protein	2.11E+06	1.98E+06	1.86E+06
SPO0113	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	1.24E+06	1.21E+06	1.17E+06
SPO0114	Uncharacterized protein	87133.3
SPO0115	MaoC family protein/phosphate acetyl/butaryl transferase	4.51E+06	4.32E+06	4.00E+06
SPO0116	Acetate kinase (EC 2.7.2.1) (Acetokinase)	1.58E+06	1.61E+06	1.58E+06
SPO0118	DUF4274 domain-containing protein	83552.9	82134.7	83187
SPO0119	"Transcriptional regulator, AsnC family"	501400	495101	465172
SPO0120	"Membrane protein, putative"	14155.5	8895.85	11615
SPO0122	YGGT family protein	1.24E+06	1.17E+06	1.11E+06
SPO0123	"Membrane protein, putative"	1.19E+06	1.19E+06	1.34E+06
SPO0124	Murein endopeptidase	1.14E+07	1.25E+07	1.19E+07
SPO0125	Phytase-like domain-containing protein	2.72E+06	2.66E+06	2.73E+06
SPO0126	Probable queuosine precursor transporter (Q precursor transporter)	1.02E+06	1.19E+06	1.22E+06
SPO0127	Peptidyl-tRNA hydrolase domain protein	1.43E+06	1.50E+06	1.56E+06
SPO0128	"Oxidoreductase, short chain dehydrogenase/reductase family"	7.34E+06	7.69E+06	7.76E+06
SPO0129	"Peptidase, T4 family"	1.45E+06	1.57E+06	1.61E+06
SPO0130	Cytochrome c family protein	2.74E+07	2.77E+07	2.78E+07
SPO0131	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)	3.86E+06	3.58E+06	3.18E+06
SPO0132	histidine kinase (EC 2.7.13.3)	24625.9	23151.7	15038.1
SPO0133	PAN domain protein	4.52E+06	4.28E+06	4.28E+06
SPO0134	Glycolipid-binding domain-containing protein	1.38E+06	1.36E+06	1.33E+06
SPO0135	Penicillin-binding protein 1C	400161	370189	388047
