Time	1	2	3
00:00:00	0.057	0.057	0.052
02:00:00	0.065	0.059	0.058
04:00:00	0.064	0.058	0.058
06:00:00	0.069	0.073	0.061
08:00:00	0.065	0.078	0.076
10:00:00	0.085	0.088	0.081
12:00:00	0.094	0.092	0.09
14:00:00	0.12	0.117	0.107
21:00:00	0.295	0.31	0.284
23:00:00	0.381	0.389	0.367
25:00:00	0.451	0.468	0.403
26:00:00	0.527	0.455	0.468
30:30:00	0.72	0.702	0.671
32:00:00	0.715	0.697	0.714
45:30:00	0.626	0.642	0.649
