Time	1	2	3
00:00:00	0.035	0.037	0.038
03:00:00	0.04	0.05	0.041
05:00:00	0.037	0.038	0.039
07:00:00	0.037	0.041	0.042
14:00:00	0.051	0.055	0.054
16:00:00	0.065	0.06	0.067
18:00:00	0.076	0.077	0.082
19:00:00	0.083	0.08	0.084
23:30:00	0.137	0.14	0.136
25:00:00	0.161	0.169	0.169
38:30:00	0.277	0.275	0.281
